feature,balanced_accuracy
RedEdge_HOMOGENEITY_75th,0.0
r_mean_contrast,0.0125
Green_HOMOGENEITY_median,0.0375
b_mean_correlation,0.125
r_mean_dissimilarity,0.0375
b_mean_homogeneity,0.075
g_mean_dissimilarity,0.075
g_mean_contrast,0.075
Red_MEAN_I_75th,0.075
Green_NONE_25th,0.075
NIR_mean_energy,0.075
b_mean_contrast,0.05
NIR_mean_contrast,0.075
Wideband_Green_MEAN_I_median,0.1
Blue_MEAN_I_25th,0.05
r_mean_energy,0.1
r_mean_correlation,0.05
Wideband_Blue_NONE_75th,0.05
Wideband_Red_MEAN_I_mean,0.05
g_glcm_mean,0.05
g_mean_correlation,0.05
Red_MEAN_I_median,0.075
b_mean_dissimilarity,0.0875
Blue_HOMOGENEITY_median,0.075
NIR_mean_homogeneity,0.075
b_mean_energy,0.15
Blue_MEAN_I_75th,0.125
NIR_HOMOGENEITY_75th,0.1
NIR_NONE_median,0.175
Blue_ASM_median,0.1125
Wideband_Blue_MEAN_I_median,0.15
RE_mean_dissimilarity,0.1375
r_mean_ASM,0.1375
RedEdge_MEAN_I_mean,0.0375
NIR_mean_dissimilarity,0.0875
Red_HOMOGENEITY_75th,0.0625
Red_HOMOGENEITY_25th,0.0625
NIR_MEAN_I_75th,0.1375
RE_mean_energy,0.1125
Red_MEAN_I_mean,0.0875
RE_mean_contrast,0.15
r_mean_homogeneity,0.1
RedEdge_HOMOGENEITY_median,0.1375
RE_mean_homogeneity,0.1
g_mean_energy,0.1375
Wideband_Blue_MEAN_I_25th,0.1
Green_HOMOGENEITY_mean,0.0875
NIR_MEAN_I_25th,0.1875
Red_HOMOGENEITY_median,0.1125
Blue_MEAN_I_median,0.0875
RE_glcm_mean,0.075
b_glcm_mean,0.1375
Wideband_Blue_MEAN_I_75th,0.1625
NIR_MEAN_I_median,0.0875
g_mean_homogeneity,0.1375
RedEdge_NONE_median,0.125
b_mean_ASM,0.125
Green_NONE_median,0.0875
Wideband_Green_MEAN_I_25th,0.05
RE_mean_correlation,0.1125
Wideband_Green_MEAN_I_75th,0.0875
Green_MEAN_I_mean,0.1125
Red_HOMOGENEITY_mean,0.1375
RedEdge_NONE_mean,0.1875
NIR_NONE_75th,0.075
Green_HOMOGENEITY_25th,0.0625
Blue_MEAN_I_mean,0.1
NIR_mean_ASM,0.1125
Wideband_Red_MEAN_I_75th,0.1375
RedEdge_MEAN_I_median,0.15
RedEdge_HOMOGENEITY_25th,0.075
Blue_ASM_mean,0.1625
r_glcm_mean,0.0625
NIR_NONE_25th,0.1375
Wideband_Blue_NONE_mean,0.075
Green_NONE_mean,0.0875
RedEdge_NONE_75th,0.0625
Wideband_Green_MEAN_I_mean,0.05
RedEdge_HOMOGENEITY_mean,0.15
Blue_ASM_75th,0.075
NIR_mean_correlation,0.0875
Wideband_Blue_MEAN_I_mean,0.0875
NIR_HOMOGENEITY_25th,0.125
RedEdge_MEAN_I_25th,0.1625
Green_NONE_75th,0.1375
Green_MEAN_I_median,0.0625
NIR_HOMOGENEITY_median,0.1
g_mean_ASM,0.1875
NIR_NONE_mean,0.1
Blue_HOMOGENEITY_mean,0.1
Wideband_Blue_NONE_median,0.1375
Blue_HOMOGENEITY_25th,0.15
Blue_HOMOGENEITY_75th,0.1875
Wideband_Blue_NONE_25th,0.125
Red_MEAN_I_25th,0.1625
RedEdge_NONE_25th,0.125
RedEdge_MEAN_I_75th,0.0875
Wideband_Red_MEAN_I_median,0.1625
Green_HOMOGENEITY_75th,0.175
RE_mean_ASM,0.1625
Blue_ASM_25th,0.125
NIR_MEAN_I_mean,0.0875
NIR_glcm_mean,0.175
NIR_HOMOGENEITY_mean,0.1125
Wideband_Red_MEAN_I_25th,0.15
