index,tree_name,dec_NIR_raw_mean,dec_NIR_glcm_mean,dec_NIR_mean_homogeneity,dec_NIR_mean_contrast,dec_NIR_mean_dissimilarity,dec_NIR_mean_ASM,dec_NIR_mean_correlation,dec_NIR_mean_energy
0,Falcataria Moluccana,148.1738261960935,71.05502319335938,0.23623505789859545,56.899104791541774,4.7072599586565165,0.0006930416576484029,0.9589145189957554,0.026247619564755503
1,Ficus Variegata,141.56413910373576,35.3648681640625,0.17575736576832865,86.41856758870105,6.485420961441322,0.00041333907764971173,0.9388736191358565,0.02027439225240548
2,Bridelia Sp.,91.70836168568201,36.852935791015625,0.25610358986938786,36.24965441850953,4.037898521796517,0.0007570762403719296,0.9777707201488823,0.02743655499621838
3,Falcataria Moluccana,158.82963097438605,36.881683349609375,0.2248004667073876,57.16833924222199,4.859971479127322,0.000493836353555193,0.9713185302256313,0.022152582799401483
4,Falcataria Moluccana,162.95993481346488,34.72772216796875,0.24116630860865845,48.897016132295946,4.3876974089461775,0.0006383052394259622,0.9675206567864818,0.025183934876178295
5,Spathodea Campanulatum,160.68117767823816,20.85357666015625,0.16345097212519658,101.38788275264024,6.849951764367312,0.0003046143448947097,0.9595963904400765,0.0174021855896252
6,Terminalia Catappa,144.81038430947532,55.741912841796875,0.17904120907825963,109.14606864935871,6.840745990371037,0.00035000190781527327,0.9427596383510768,0.01864755273928214
7,Spathodea Campanulatum,113.32342657342657,8.7486572265625,0.21523294510024046,73.14361197377309,5.406954629152718,0.0003967468477150027,0.9720991591762326,0.01985874946439618
8,Shorea Leprosula,66.82723577235772,1.958648681640625,0.30048782087965686,42.81228866595859,3.888102574723068,0.0017527623257783372,0.9476551600310245,0.04172124936492387
9,Syzygium Polyanthum,100.29676071055381,3.473663330078125,0.250384085446543,63.86822989382334,4.597661299696355,0.0005568766790713479,0.9694986763008482,0.02352577162126536
10,Cinnamomum Iners,136.9537192393736,4.329681396484375,0.16803241354722098,94.87164024933827,6.654070943692809,0.00032983840680238095,0.958815084935705,0.01811129641324103
11,Clausena Excavata,120.09113122171945,1.329254150390625,0.20825297110834082,44.079752467474265,4.8429206357557435,0.000587374179106948,0.9718269129022681,0.024174450441528585
12,Cinnamomum Iners,122.73459328894111,7.4339599609375,0.1647706641227386,92.4352656544284,6.674580377284986,0.00031242428037589877,0.9580230362254348,0.017622923631876803
13,Alstonia Angulstiloba,142.06527101590393,7.476531982421875,0.17180043738109568,63.12511852067832,5.840670946514648,0.0005762132102875531,0.9368934681711067,0.02394339449967075
14,Spathodea Campanulatum,159.36149519568784,7.247528076171875,0.14960765284917704,110.98296956103488,7.378765857888867,0.00040167071940391526,0.9275894186138015,0.019985622246555663
15,Clausena Excavata,128.1820827783533,4.911773681640625,0.20221208087670778,53.70611615001751,5.152780329973405,0.00047780156949637695,0.9718797614599998,0.021796154102914283
16,Syzygium Polyanthum,140.95850100603622,2.8837890625,0.18613806723372195,73.06185908200601,5.838726672651816,0.0003845980724268333,0.9734628839401402,0.019562543954584843
