,index_,tree_name,r_glcm_mean,r_mean_homogeneity,r_mean_contrast,r_mean_dissimilarity,r_mean_ASM,r_mean_correlation,r_mean_energy,g_glcm_mean,g_mean_homogeneity,g_mean_contrast,g_mean_dissimilarity,g_mean_ASM,g_mean_correlation,g_mean_energy,b_glcm_mean,b_mean_homogeneity,b_mean_contrast,b_mean_dissimilarity,b_mean_ASM,b_mean_correlation,b_mean_energy,RE_glcm_mean,RE_mean_homogeneity,RE_mean_contrast,RE_mean_dissimilarity,RE_mean_ASM,RE_mean_correlation,RE_mean_energy,NIR_glcm_mean,NIR_mean_homogeneity,NIR_mean_contrast,NIR_mean_dissimilarity,NIR_mean_ASM,NIR_mean_correlation,NIR_mean_energy,Wideband_Red_MEAN_I_mean,Wideband_Red_MEAN_I_median,Wideband_Red_MEAN_I_25th,Wideband_Red_MEAN_I_75th,Wideband_Green_MEAN_I_mean,Wideband_Green_MEAN_I_median,Wideband_Green_MEAN_I_25th,Wideband_Green_MEAN_I_75th,Wideband_Blue_NONE_mean,Wideband_Blue_NONE_median,Wideband_Blue_NONE_25th,Wideband_Blue_NONE_75th,Wideband_Blue_MEAN_I_mean,Wideband_Blue_MEAN_I_median,Wideband_Blue_MEAN_I_25th,Wideband_Blue_MEAN_I_75th,RedEdge_NONE_mean,RedEdge_NONE_median,RedEdge_NONE_25th,RedEdge_NONE_75th,RedEdge_HOMOGENEITY_mean,RedEdge_HOMOGENEITY_median,RedEdge_HOMOGENEITY_25th,RedEdge_HOMOGENEITY_75th,RedEdge_MEAN_I_mean,RedEdge_MEAN_I_median,RedEdge_MEAN_I_25th,RedEdge_MEAN_I_75th,Blue_HOMOGENEITY_mean,Blue_HOMOGENEITY_median,Blue_HOMOGENEITY_25th,Blue_HOMOGENEITY_75th,Blue_ASM_mean,Blue_ASM_median,Blue_ASM_25th,Blue_ASM_75th,Blue_MEAN_I_mean,Blue_MEAN_I_median,Blue_MEAN_I_25th,Blue_MEAN_I_75th,NIR_NONE_mean,NIR_NONE_median,NIR_NONE_25th,NIR_NONE_75th,NIR_HOMOGENEITY_mean,NIR_HOMOGENEITY_median,NIR_HOMOGENEITY_25th,NIR_HOMOGENEITY_75th,NIR_MEAN_I_mean,NIR_MEAN_I_median,NIR_MEAN_I_25th,NIR_MEAN_I_75th,Red_HOMOGENEITY_mean,Red_HOMOGENEITY_median,Red_HOMOGENEITY_25th,Red_HOMOGENEITY_75th,Red_MEAN_I_mean,Red_MEAN_I_median,Red_MEAN_I_25th,Red_MEAN_I_75th,Green_NONE_mean,Green_NONE_median,Green_NONE_25th,Green_NONE_75th,Green_HOMOGENEITY_mean,Green_HOMOGENEITY_median,Green_HOMOGENEITY_25th,Green_HOMOGENEITY_75th,Green_MEAN_I_mean,Green_MEAN_I_median,Green_MEAN_I_25th,Green_MEAN_I_75th
0,0,Falcataria Moluccana,107.38108310796704,0.2384652839680654,72.01696391284338,5.293931732605358,0.0007107756724,0.9319756697766652,0.0265865203425487,119.79190766752582,0.2512523331976433,67.29967808557595,5.121651957179235,0.0008988364296661,0.9230575380927264,0.0298997557522828,68.33890962653578,0.2167903915185211,63.57301175743442,5.245219737189939,0.0007063188864788,0.9286223321428014,0.0265038287578831,56.28864386258644,0.2335696346851714,55.78306449348693,4.835622462480298,0.0006578077671241,0.9538225382372296,0.0255724484830636,79.9530585726763,0.2362350578985898,56.8991047915401,4.7072599586563895,0.0006930416576483,0.9589145189957532,0.0262476195647548,0.7777534461455153,0.8558794117898971,0.5012708825846647,0.5024020323604248,0.4198806512888705,0.0929480160114308,0.418472148644513,0.6692973597468591,0.251122084150723,0.0299721911069749,0.5896231524086657,0.0935462485219221,0.5895792655839606,0.4742975861862106,0.035624835364608,0.0957928208011404,0.2398434674532578,0.0923957523238719,0.78125,0.86083984375,0.50390625,0.5009765625,0.4207039177417755,0.08953857421875,0.421630859375,0.67822265625,0.2344970703125,0.030242919921875,0.6001677811145782,0.09063720703125,0.59716796875,0.480712890625,0.03521728515625,0.0905709564685821,0.23583984375,0.09185791015625,0.7431640625,0.82861328125,0.44921875,0.469970703125,0.3570896089076996,0.06964111328125,0.37548828125,0.61572265625,0.181884765625,0.0262451171875,0.5336098819971085,0.0687255859375,0.55029296875,0.40673828125,0.029449462890625,0.0718210879713296,0.18994140625,0.07818603515625,0.81591796875,0.8876953125,0.5546875,0.53466796875,0.4833312407135963,0.11163330078125,0.465087890625,0.73046875,0.296875,0.03350830078125,0.6587216556072235,0.1141357421875,0.63671875,0.54541015625,0.041168212890625,0.1121988743543624,0.284423828125,0.1053466796875
1,1,Ficus Variegata,95.54481240855912,0.1015880266751757,369.91182148784816,13.348730089528244,0.000171898300425,0.8695638815340566,0.0130786631357062,108.36824688009878,0.1230976203433131,350.6764950042976,12.843935480534023,0.0006361268388832,0.8513831481498428,0.0251395131461556,64.02300769051824,0.0932260687750937,324.7286237997255,12.890850327533924,0.0001908867070728,0.8341945420447674,0.0137845903057598,47.64312605187983,0.1437267960487457,141.8585485013365,8.393021337192387,0.0003086089884159,0.909835234144248,0.0175194851253,73.74828046888496,0.1757573657683291,86.41856758870269,6.485420961441414,0.0004133390776497,0.9388736191358537,0.0202743922524055,0.7526443965660754,0.830298248939304,0.507098182180001,0.5090751087699948,0.3848572077944414,0.0725136509474387,0.3831593593274268,0.5045060978891216,0.0858586925613639,0.0291438516343699,0.5711989521690178,0.0852263827915426,0.5706972001638745,0.3522212793593828,0.0336365494051537,0.0883651067902686,0.1829119740337829,0.0849871007032417,0.7607421875,0.8388671875,0.51953125,0.50927734375,0.3807478547096252,0.0675048828125,0.38916015625,0.50146484375,0.077392578125,0.0296478271484375,0.5738317668437958,0.0797119140625,0.5791015625,0.343994140625,0.034027099609375,0.0829594954848289,0.1732177734375,0.0858154296875,0.7177734375,0.80126953125,0.43359375,0.477294921875,0.3042277097702026,0.054168701171875,0.3447265625,0.45751953125,0.06341552734375,0.0262718200683593,0.5016800314188004,0.0631103515625,0.529296875,0.2958984375,0.028717041015625,0.058348337188363,0.1439208984375,0.07354736328125,0.79931640625,0.87158203125,0.59375,0.5439453125,0.4590080082416534,0.085693359375,0.42333984375,0.5498046875,0.099609375,0.0323486328125,0.644246056675911,0.10174560546875,0.615234375,0.39697265625,0.038665771484375,0.1122194267809391,0.2091064453125,0.0966796875
2,2,Bridelia Sp.,89.76388307801764,0.1524453193683402,150.40890811460443,8.271919840525056,0.0002964786236298,0.934025922028695,0.0171722290901197,97.2450348069068,0.157177891303503,150.30203091569007,8.223099987321785,0.0003095249894536,0.935972768730975,0.0175442727524191,58.808494656321,0.153036487911604,133.9638843477253,7.936081135668979,0.0003419845814925,0.91931188135496,0.0184436977976779,31.86971389707408,0.2611240497926808,35.23227931004543,3.991795564434287,0.0009451208618591,0.96727722387916,0.0306565156500152,49.43325786691959,0.2561035898693943,36.24965441851066,4.0378985217966346,0.0007570762403719,0.977770720148881,0.027436554996219,0.6874680256851814,0.7386987029462149,0.4530273314665812,0.4555965668412672,0.2427426833551316,0.1216664957080276,0.2418778971498753,0.6995068777395095,0.3057187401473547,0.0172627314595785,0.3709812667997787,0.1098317493901628,0.3713076815718071,0.5484339088273683,0.0216691596474813,0.0522570560157547,0.3369349896549815,0.0490106834727583,0.69384765625,0.7421875,0.4609375,0.459228515625,0.2307377904653549,0.114013671875,0.2271728515625,0.70068359375,0.278564453125,0.0167083740234375,0.3574298322200775,0.1029052734375,0.35302734375,0.5478515625,0.0213775634765625,0.0488524101674556,0.335205078125,0.046295166015625,0.64306640625,0.6904296875,0.3828125,0.413818359375,0.1823108382523059,0.08575439453125,0.1981201171875,0.63916015625,0.2158203125,0.0144500732421875,0.2990398705005646,0.076171875,0.315673828125,0.482177734375,0.0176544189453125,0.0360313467681407,0.266357421875,0.0389404296875,0.7392578125,0.79052734375,0.53125,0.5,0.2855901941657066,0.149169921875,0.266845703125,0.759765625,0.364013671875,0.0197944641113281,0.4205230548977852,0.1351318359375,0.40185546875,0.61669921875,0.025421142578125,0.0635025594383478,0.40478515625,0.05548095703125
3,3,Falcataria Moluccana,106.732556659782,0.2282393704174518,94.1935478816237,5.901113307739925,0.0005290448377849,0.9410615444105442,0.022935049213689,121.4593414502051,0.2546549869569041,86.6396176588169,5.603269251922603,0.0012015149028839,0.935487803934995,0.0345902040236703,67.39701800624184,0.2117679677338256,79.21664407400989,5.694259315510683,0.0005883241070281,0.936785564119078,0.0241891010780408,59.62498664105654,0.2180532328460419,60.2493097668052,5.109652926359404,0.000476553301461,0.965419322304145,0.0217646949789745,85.27225782490694,0.2248004667073913,57.1683392422234,4.85997147912743,0.0004938363535552,0.9713185302256294,0.0221525827994018,0.7763134352734498,0.8570972169039207,0.4959622214365409,0.4976455454314125,0.4451871043940054,0.0788277979820005,0.4449498554997932,0.595861210690148,0.1911297055348086,0.030938777272469,0.6266018107516683,0.0790014370757884,0.6279832829810816,0.4100824698362461,0.0376525709855306,0.0975319182813321,0.2107046151213462,0.0942738603209015,0.78076171875,0.8642578125,0.4921875,0.49609375,0.4479480534791946,0.07476806640625,0.44921875,0.60107421875,0.1776123046875,0.0309600830078125,0.6376410722732544,0.0755615234375,0.63720703125,0.407958984375,0.037109375,0.092802744358778,0.201416015625,0.0936279296875,0.73291015625,0.81982421875,0.43359375,0.454345703125,0.3637472242116928,0.05731201171875,0.387939453125,0.533203125,0.1317138671875,0.027313232421875,0.5462481528520584,0.055694580078125,0.56787109375,0.337646484375,0.0312042236328125,0.0695409011095762,0.1593017578125,0.078125,0.82373046875,0.90087890625,0.5546875,0.5380859375,0.5293205380439758,0.09674072265625,0.5029296875,0.66943359375,0.23681640625,0.034698486328125,0.7176815718412399,0.09814453125,0.69091796875,0.481689453125,0.043426513671875,0.1188363190740346,0.251708984375,0.10870361328125
4,4,Falcataria Moluccana,113.60704042118192,0.267439897963546,54.57410965803612,4.522452525269413,0.0008441105252144,0.9494405386611692,0.0289722225585833,127.87818662921968,0.298117461649763,52.69000597170109,4.328429644632414,0.0017399935322386,0.9465853230414736,0.0416299259057094,63.93014659536247,0.2437630467568098,48.3247931661425,4.485638665144334,0.0009001064175026,0.9406668263376644,0.0299178335865413,64.92080113098973,0.2204251436796321,61.16859592704337,5.037615288702671,0.0005338845744601,0.962767359918264,0.0230352624527689,88.21302033723002,0.2411663086086584,48.8970161322972,4.387697408946277,0.0006383052394259,0.9675206567864808,0.0251839348761783,0.8093813790251215,0.8810428787708685,0.4628633505917159,0.464943310051577,0.4852317480853147,0.0860315282971599,0.4849057478916816,0.6546276772919088,0.2412539620613104,0.0348920098221715,0.6476346103678239,0.0928698491445559,0.6486616966266906,0.4198649453995899,0.0472155750110203,0.1207144543175236,0.2076206675809213,0.1176411288367019,0.81298828125,0.88720703125,0.46875,0.466796875,0.4815540164709091,0.08331298828125,0.4833984375,0.66455078125,0.2264404296875,0.035064697265625,0.6522580981254578,0.09063720703125,0.65185546875,0.422119140625,0.046661376953125,0.1134733036160469,0.20263671875,0.11517333984375,0.77490234375,0.85205078125,0.4140625,0.43017578125,0.4143310934305191,0.0625,0.4365234375,0.5947265625,0.1708984375,0.032073974609375,0.5852415859699249,0.068359375,0.6044921875,0.35107421875,0.04071044921875,0.0918631833046674,0.1527099609375,0.09912109375,0.8486328125,0.91943359375,0.515625,0.50048828125,0.5554747730493546,0.1053466796875,0.53515625,0.7216796875,0.28857421875,0.03814697265625,0.7186241447925568,0.11383056640625,0.7001953125,0.489013671875,0.05340576171875,0.142575241625309,0.25439453125,0.135009765625
5,5,Spathodea Campanulatum,97.4989517744854,0.1068450672594967,297.6369404621714,11.958679593555528,0.000191980021739,0.8981568703193389,0.0138217841888619,109.65462187038118,0.1310936441207568,280.0728110544322,11.396546449935435,0.0007118815214316,0.8908422453142731,0.0265885390765116,62.07295982488979,0.0978265845778698,274.6754285433243,11.869257066766584,0.0001912874102609,0.8743559543054064,0.0137976557443023,57.88891711021968,0.1315260569322571,152.2389913514676,8.72874465275291,0.0002166778635816,0.9424881162476708,0.0146807604870035,83.48267054543074,0.1634509721251967,101.387882752639,6.8499517643672485,0.0003046143448947,0.9595963904400784,0.0174021855896251,0.7659904850174993,0.8372272543582909,0.4955893926279577,0.4963359865431193,0.4672256787710065,0.0615250583418494,0.4658819636563495,0.5035517219777149,0.0899142400623651,0.0313215899343563,0.6473162941487715,0.0723213012806578,0.6472466340713691,0.3452413689924476,0.0372267879614202,0.098429613070287,0.1718857169660421,0.0950359677298571,0.775390625,0.84814453125,0.5078125,0.50390625,0.4676973521709442,0.0587158203125,0.471435546875,0.50146484375,0.0819091796875,0.032012939453125,0.6590259075164795,0.07025146484375,0.65966796875,0.344482421875,0.037353515625,0.0936939120292663,0.163818359375,0.0955810546875,0.724609375,0.80078125,0.41796875,0.4609375,0.3650461435317993,0.046875,0.400390625,0.452880859375,0.06524658203125,0.0271759033203125,0.5601635575294495,0.053558349609375,0.58056640625,0.30078125,0.031005859375,0.0646612122654914,0.13623046875,0.07818603515625,0.81787109375,0.88623046875,0.5859375,0.5390625,0.5691066980361938,0.0733642578125,0.53271484375,0.55224609375,0.1053466796875,0.03564453125,0.7461063861846924,0.08819580078125,0.716796875,0.384521484375,0.04339599609375,0.125810444355011,0.1966552734375,0.11212158203125
6,6,Terminalia Catappa,104.4369480893904,0.1492557745860111,262.53257819708284,10.41457704472921,0.0003087609360679,0.9065709260745132,0.0175229867262828,114.29252321594886,0.1710478876107662,242.7816050490528,9.916404961232244,0.0009415938505635,0.8952268157986591,0.0305983086404956,57.55173266198483,0.1100938531305141,301.8300684139424,11.664005145491148,0.0001531384413517,0.913011240146832,0.0123385316927225,59.593943751837045,0.1484640390422366,170.7959736151914,8.685256584166519,0.0002337406751431,0.9319141027099312,0.0152390877712728,75.6297165259479,0.179041209078249,109.14606864935232,6.840745990370648,0.0003500019078152,0.9427596383510776,0.018647552739281,0.7969758220607485,0.8494841677726108,0.461389852432471,0.4619370123627848,0.4737157438053838,0.0583849701853381,0.4717504199107085,0.3690654779356263,0.0495538088155655,0.0412226864637736,0.5815371169029677,0.0721319541641505,0.5802819050887195,0.2224296483044811,0.0649894446020377,0.1361866830604159,0.1262956932364941,0.1328160732607298,0.80712890625,0.86181640625,0.44921875,0.456787109375,0.4736343324184418,0.0565185546875,0.47607421875,0.363037109375,0.042266845703125,0.040252685546875,0.5861411094665527,0.06988525390625,0.5830078125,0.2137451171875,0.06353759765625,0.1293148398399353,0.12213134765625,0.134765625,0.76025390625,0.8193359375,0.34375,0.4033203125,0.3765455111861229,0.045074462890625,0.422607421875,0.2998046875,0.0289764404296875,0.034515380859375,0.5020965337753296,0.05523681640625,0.53564453125,0.1707763671875,0.0517578125,0.0900201387703418,0.0994873046875,0.1138916015625,0.84765625,0.89453125,0.5625,0.513671875,0.5707075148820877,0.0693359375,0.52734375,0.434814453125,0.06146240234375,0.04718017578125,0.6660441160202026,0.08648681640625,0.6318359375,0.263916015625,0.07568359375,0.1734684780240059,0.14697265625,0.1534423828125
7,7,Spathodea Campanulatum,67.21644756655245,0.1063979144536127,298.9162047946154,11.914552146942825,0.0001697063805928,0.8959421130027752,0.0129959432123865,80.34545472380175,0.1066026055126014,301.53904778643624,11.924457984855282,0.0001706539285218,0.8985233812299347,0.0130323418678178,42.19979506496863,0.1079597722881005,240.6674744485892,11.028490086387066,0.0002484229315741,0.8409144678034814,0.0157264280600906,36.293856717108525,0.2093275037593828,64.13893877871163,5.41370379569933,0.0005072773317158,0.95809854045001,0.0224594340763288,60.231722603464654,0.2152329451002344,73.14361197377092,5.406954629152531,0.0003967468477149,0.9720991591762308,0.0198587494643956,0.5513560744939814,0.6520262697994342,0.3572343026489867,0.3571349325647839,0.309326958818549,0.0880316134948381,0.305706841064321,0.6376374179865245,0.1997426745479941,0.0199442582888695,0.4964492984182836,0.0853429269328981,0.4927830475977271,0.5184408364466193,0.020050523916106,0.0550018173559213,0.293211510552912,0.0514200141636504,0.5498046875,0.65625,0.36328125,0.35986328125,0.3032215237617492,0.08306884765625,0.304443359375,0.634765625,0.1871337890625,0.0197296142578125,0.5058106780052185,0.08123779296875,0.494873046875,0.52294921875,0.0191802978515625,0.0490138791501522,0.2861328125,0.049530029296875,0.50048828125,0.6025390625,0.296875,0.328857421875,0.2408071905374527,0.066497802734375,0.258544921875,0.583984375,0.1431884765625,0.016754150390625,0.4243746101856231,0.06072998046875,0.433349609375,0.4482421875,0.0155563354492187,0.0364948045462369,0.2208251953125,0.03973388671875,0.6083984375,0.71044921875,0.42578125,0.39404296875,0.3773722201585769,0.106201171875,0.359375,0.693359375,0.236083984375,0.0234832763671875,0.5901369154453278,0.10443115234375,0.5693359375,0.58251953125,0.024139404296875,0.0670622363686561,0.357177734375,0.061431884765625
8,8,Shorea Leprosula,72.59903468348982,0.1760804122842778,116.17102420540176,7.1690671233242895,0.0004836488828239,0.902312294245065,0.0219396247360967,82.65048419823623,0.1805566664607653,110.70592263326182,7.063632325233336,0.000560801012091,0.900818106628902,0.0236201456482425,30.40351499060337,0.1831392628909551,90.26567862330172,6.527997365707972,0.0007345517868634,0.8641681938725427,0.0270367698359312,25.30227642345788,0.3074995410950717,42.26150161032102,3.965035354121168,0.0027436642559759,0.927792965154089,0.0522207136008309,36.4819310247217,0.3004878208796581,42.81228866595905,3.888102574723086,0.0017527623257783,0.9476551600310248,0.041721249364924,0.5675924870597554,0.6399535952926982,0.2480624171087533,0.2434877485010499,0.218382958846478,0.1103956254576287,0.2125204745696562,0.7050083294190245,0.2867966979926503,0.0122841650358245,0.310038483880884,0.0905624353671333,0.304386947276562,0.5612109763552718,0.0179228947080414,0.0538325808160588,0.3417243271705994,0.0498246457982196,0.56689453125,0.640625,0.23828125,0.2401123046875,0.2109601721167564,0.099334716796875,0.2156982421875,0.70947265625,0.27880859375,0.0122146606445312,0.3107959032058716,0.086334228515625,0.310546875,0.57763671875,0.0181121826171875,0.0490616299211978,0.3310546875,0.04949951171875,0.55078125,0.62255859375,0.1953125,0.2261962890625,0.1558237485587597,0.08160400390625,0.1982421875,0.68115234375,0.25244140625,0.011322021484375,0.2375749461352825,0.0683135986328125,0.287841796875,0.51318359375,0.016632080078125,0.040538290515542,0.29376220703125,0.04608154296875,0.58544921875,0.6630859375,0.29296875,0.255859375,0.2717045918107033,0.12200927734375,0.2303466796875,0.73095703125,0.308837890625,0.0131454467773437,0.3744414672255516,0.1055145263671875,0.326904296875,0.62744140625,0.0195465087890625,0.0646968223154544,0.38299560546875,0.053863525390625
9,9,Syzygium Polyanthum,75.73218925249489,0.1410875208428737,233.63932426222783,9.631313776140122,0.0002460441513887,0.932766344784512,0.0156467506614576,84.30162420147681,0.1429359281251582,241.54458607918184,9.672445468482143,0.0002430274018335,0.934244499922671,0.0155512509021631,41.44207139508006,0.1452452213523125,177.510449456151,8.865932325842623,0.0003480675748981,0.8900585349775356,0.0186084836954976,35.70575286450314,0.2323624688218357,65.35612164115393,5.11575443657876,0.0006156535483286,0.954107742592547,0.0247369385086538,53.87181515220754,0.2503840854465459,63.86822989382526,4.597661299696458,0.0005568766790713,0.9694986763008508,0.0235257716212656,0.6165560148175064,0.6788937117702277,0.3511743984173127,0.3548143017199612,0.2881762910167414,0.1029919262080229,0.2920827939528827,0.6623753747274709,0.2253276499666908,0.020410779218649,0.4303986815933032,0.1013787454412889,0.4346465827882751,0.4940765065432211,0.0269891635392063,0.0628761173775227,0.2859309903719012,0.0620185408481331,0.615234375,0.67626953125,0.35546875,0.359619140625,0.2824480235576629,0.09893798828125,0.28076171875,0.6591796875,0.2032470703125,0.0200653076171875,0.425939604640007,0.09698486328125,0.4208984375,0.493408203125,0.0261459350585937,0.0596943125128746,0.280517578125,0.059417724609375,0.576171875,0.6376953125,0.296875,0.3232421875,0.2335475571453571,0.0784912109375,0.251220703125,0.61328125,0.166015625,0.0178985595703125,0.3687987029552459,0.07354736328125,0.384033203125,0.4287109375,0.0229911804199218,0.0466581964865326,0.228759765625,0.052215576171875,0.669921875,0.73486328125,0.4140625,0.386962890625,0.341049924492836,0.1221923828125,0.3388671875,0.7099609375,0.255859375,0.02294921875,0.4980476498603821,0.12359619140625,0.49853515625,0.5625,0.03057861328125,0.0759124048054218,0.33935546875,0.07122802734375
