index,tree_name,may_WG_glcm_mean,may_WG_mean_homogeneity,may_WG_mean_contrast,may_WG_mean_dissimilarity,may_WG_mean_ASM,may_WG_mean_correlation,may_WG_mean_energy
0,Falcataria Moluccana,2.512503054319073,0.8498661368203231,0.3334487777411849,0.30577186626863134,0.15653222890355475,0.8277853345049998,0.39564154092253095
1,Ficus Variegata,2.3283488583285115,0.8012043556918033,0.48077799959383405,0.4113849113140239,0.09747753106490442,0.8687396782810108,0.3122139187558819
2,Bridelia Sp.,2.444329881366918,0.8809398960597218,0.243184250591658,0.2389635056301723,0.15857067892981072,0.8924678720230527,0.3982093405858415
3,Falcataria Moluccana,2.512315270935961,0.8661730766056879,0.291810977264469,0.2716465896703508,0.1389805446773856,0.8904790665717947,0.3728009451133213
4,Falcataria Moluccana,2.5194744036679255,0.8317710357228864,0.3999708946779774,0.34690764129162227,0.11223315659279556,0.8742412457345667,0.3350121737979018
5,Spathodea Campanulatum,2.1598179251603025,0.8275717052098339,0.39433797492583017,0.35305412001148434,0.13620384956089684,0.8468962889121714,0.36905805716837675
6,Terminalia Catappa,2.4589044291881725,0.7919756739808165,0.5554439737721946,0.4387334858960626,0.09380477873028344,0.8613103530974083,0.3062756580766474
7,Spathodea Campanulatum,1.5147220391122829,0.8874817967178081,0.23499414048194536,0.22668094924192486,0.2077356151082242,0.8667615959289025,0.4557802267631015
8,Shorea Leprosula,1.252869106699752,0.9371975806451611,0.1289547146401985,0.12616315136476425,0.4233798180586897,0.8092513603606899,0.6506764311535264
9,Syzygium Polyanthum,1.549184741959611,0.9297860882572927,0.14459237097980554,0.14112191473448019,0.29748723680036976,0.8583712442853677,0.5454239056003777
10,Cinnamomum Iners,1.8068071849937037,0.8908848677669516,0.2252932988665739,0.2194074368661762,0.22222286110084943,0.853409488447231,0.47140519842365913
11,Clausena Excavata,1.5035976890756302,0.9269222689075629,0.14716386554621846,0.14632352941176469,0.3334219947170044,0.812152426172951,0.5774270470951325
12,Cinnamomum Iners,2.4201728864768084,0.8809083533821966,0.246475130084485,0.23956526604375314,0.16716678098660565,0.8877554838015397,0.4088603441110493
13,Cratoxylum Formosum,2.6380986081623026,0.879055185686883,0.2607218683651805,0.24499882047652746,0.16272447228706957,0.8961408373570465,0.40339121493541424
14,Alstonia Angulstiloba,3.0922793422793426,0.8899343899343899,0.22239922239922238,0.2205092205092205,0.1838229294489251,0.8898455145323516,0.4287457631848099
15,Spathodea Campanulatum,3.1059388783868935,0.8077327172623514,0.44755685398407513,0.3949418571346738,0.09190658973802876,0.8898775899177588,0.3031609963996503
16,Clausena Excavata,1.6227022627956758,0.9182032093130232,0.16457017497301987,0.16375634697379834,0.2920812764512517,0.8404289106172865,0.5404454426223351
17,Syzygium Polyanthum,2.2154364930685646,0.8860894444633672,0.23117272386661672,0.22837971320549066,0.21293699507222844,0.8414712259880711,0.4614509671376022
18,Sandoricum Koetjape,1.9729762972824354,0.8740992099094146,0.26621422163053854,0.2542036870893989,0.1711111694409406,0.8928171517423396,0.41365585870496335
19,Sterculia Parviflora,2.1139292408622308,0.891978092783505,0.22033153701968133,0.21675843486410495,0.24985115705581035,0.8396848539778056,0.49985113489499083
20,Alstonia Angulstiloba,3.03124577021188,0.8900806913425999,0.2249362278098808,0.22068821906398045,0.2309544185808121,0.8381982334579803,0.48057717234676484
21,Claoxylon Indicum,1.7211507674922306,0.903527971505016,0.197363216875412,0.19367172050098877,0.26198342879018793,0.8435315134117548,0.5118431681581653
22,Bridelia Sp.,1.6071398946538926,0.9169528431006595,0.1667910912031853,0.1662104433660985,0.2811176602955775,0.8331445656682966,0.5302053001390853
23,Pometia Pinnata,1.742956319043276,0.932233708320665,0.13808655113002938,0.13595824465389683,0.3648970601592648,0.8373704451480583,0.6040670990537929
24,Sterculia Parviflora,2.0762396694214877,0.8826115702479338,0.2393388429752066,0.23553719008264462,0.21126904924527012,0.8824640246487981,0.4596401301510456
25,Calophyllum,2.526546003016591,0.8770437405731523,0.25460030165912517,0.24736048265460028,0.17665894319208134,0.892976357837644,0.4203081526595473
26,Pennisetum Purpureum,1.6448434169535986,0.8984030168880145,0.20560747663551404,0.2035962179592283,0.27521833311239735,0.8016112535868586,0.5246125552370982
27,Sterculia Parviflora,2.4065543071161044,0.9010611735330838,0.20536828963795256,0.19912609238451934,0.26822721598002497,0.8820376700318757,0.5179065707055907
28,Campnosperma Auriculatum,2.4013547145003753,0.8086854215183493,0.5102914475331831,0.40330735036313553,0.10133027115456558,0.8806400241781202,0.31832416049455875
29,Leea Indica,3.2565774616079497,0.8793529810298102,0.24983062330623307,0.24271680216802166,0.16112482037196163,0.9067527202886095,0.4014035629786582
30,Dillenia Suffruticosa,2.165611111111111,0.9027,0.2023333333333333,0.19588888888888886,0.2461313641975309,0.9012929161442006,0.49611628092366705
31,Sterculia Parviflora,2.8379789224859646,0.8668431816733392,0.2771594602580518,0.2680980990840146,0.17236736781764753,0.8755132760513699,0.4151714920579778
32,Ficus Variegata,2.969783442364088,0.8165927030202319,0.4038912700203023,0.3729641326415519,0.11626943345107335,0.8620035935415008,0.3409830398290703
33,Spathodea Campanulatum,2.225884661835749,0.8055716498024683,0.4951811594202899,0.40615942028985513,0.10795652048107893,0.8575713765254995,0.3285673758623624
