,importance
id_based_on_tree_name_x,0.039091502374869545
r_mean_dissimilarity,0.0245080745528201
Wideband_Blue_NONE_75th,0.024165978749879646
b_mean_homogeneity,0.022551581577951074
g_mean_homogeneity,0.021313318936813774
g_mean_dissimilarity,0.020489983256326675
Green_HOMOGENEITY_median,0.01969133147142565
b_mean_dissimilarity,0.018917126139170484
g_mean_contrast,0.018739075035745886
r_mean_correlation,0.018093095695885728
RedEdge_MEAN_I_median,0.017488276264831546
r_mean_energy,0.015813915189305194
b_mean_correlation,0.015715268472091384
NIR_HOMOGENEITY_75th,0.015435081521212712
Red_MEAN_I_75th,0.015293874898874094
Blue_HOMOGENEITY_median,0.014684450941558444
b_mean_contrast,0.014312427413156368
r_mean_contrast,0.013379280696797023
NIR_MEAN_I_median,0.013337241254684518
NIR_NONE_median,0.013181209552119771
NIR_mean_energy,0.012748044285339502
Wideband_Green_MEAN_I_median,0.012735920353975161
Wideband_Red_MEAN_I_mean,0.012727283854649876
Wideband_Red_MEAN_I_median,0.012682697680943836
NIR_mean_dissimilarity,0.012615151381274529
NIR_MEAN_I_75th,0.01216877039159693
r_mean_homogeneity,0.011895478346577877
NIR_mean_ASM,0.011868883378336754
RE_mean_energy,0.011656382214521087
Blue_MEAN_I_median,0.011530436044906243
NIR_HOMOGENEITY_mean,0.011278960607265971
NIR_mean_correlation,0.010974822077101005
r_mean_ASM,0.01085946155743831
g_mean_correlation,0.01072671960856686
g_glcm_mean,0.010505085769404348
RE_mean_homogeneity,0.01031033799155357
b_mean_energy,0.010003287645122
Blue_ASM_25th,0.010002338072905409
RedEdge_MEAN_I_mean,0.00987492244016491
RE_mean_dissimilarity,0.009770194607304184
Green_HOMOGENEITY_mean,0.009749764362672407
RE_mean_contrast,0.009727343353530066
Green_NONE_25th,0.009631629590537432
Red_MEAN_I_25th,0.009576474696147948
NIR_mean_homogeneity,0.0094702391049997
NIR_NONE_25th,0.009168587661957427
Wideband_Blue_NONE_25th,0.009039867313995482
NIR_mean_contrast,0.008928205064484664
Blue_ASM_median,0.008783654579888651
Red_HOMOGENEITY_75th,0.008779519781198047
Wideband_Green_MEAN_I_mean,0.00867914031746004
Blue_MEAN_I_mean,0.008606765705420724
Green_MEAN_I_median,0.008397372660517839
NIR_MEAN_I_25th,0.008290076111428284
Wideband_Blue_MEAN_I_median,0.00821417962979494
RedEdge_NONE_median,0.008115263631894642
Green_HOMOGENEITY_75th,0.00811496765118439
Wideband_Red_MEAN_I_25th,0.008037774650625759
Wideband_Green_MEAN_I_75th,0.007969911932442668
RedEdge_HOMOGENEITY_median,0.007813567738824622
RedEdge_HOMOGENEITY_75th,0.007722222779321549
Wideband_Blue_MEAN_I_mean,0.007665127229193272
RedEdge_HOMOGENEITY_mean,0.007585645921559764
r_glcm_mean,0.00746319998930635
g_mean_energy,0.007409872303624115
RE_mean_correlation,0.007305502887283186
Wideband_Blue_NONE_mean,0.007001070397483667
Wideband_Blue_MEAN_I_75th,0.0066986734127990576
Wideband_Green_MEAN_I_25th,0.0066122775740355254
RedEdge_MEAN_I_25th,0.006395759074759878
NIR_NONE_75th,0.006313121035828955
NIR_MEAN_I_mean,0.006262427686457379
RedEdge_NONE_75th,0.006120190565226682
Green_NONE_median,0.005827127082075773
b_mean_ASM,0.005814312492937413
NIR_HOMOGENEITY_25th,0.005716430555126613
Red_MEAN_I_mean,0.005358400321200483
Blue_HOMOGENEITY_25th,0.0052827312619326515
Blue_MEAN_I_75th,0.005201199525424961
b_glcm_mean,0.0051971936468341974
Red_HOMOGENEITY_median,0.0051640274081579465
RE_glcm_mean,0.005064350413527236
RedEdge_NONE_25th,0.00498974425113742
NIR_NONE_mean,0.004707220555302998
Blue_ASM_mean,0.004583933606669095
Wideband_Red_MEAN_I_75th,0.004511872985918732
Green_NONE_75th,0.004358642190362777
RedEdge_MEAN_I_75th,0.004242895396616607
Blue_HOMOGENEITY_mean,0.004143487965941407
RedEdge_HOMOGENEITY_25th,0.003943386565679949
Green_NONE_mean,0.0037555085394782974
Green_MEAN_I_mean,0.003646940606309131
Red_HOMOGENEITY_25th,0.0033250085316807298
Green_MEAN_I_25th,0.003309769289115275
Wideband_Blue_NONE_median,0.0032859995093423543
RE_mean_ASM,0.003148755907753395
Red_MEAN_I_median,0.0031465093645114254
Green_MEAN_I_75th,0.0031241828196321847
g_mean_ASM,0.0028021240588252884
Green_HOMOGENEITY_25th,0.0026047439648708235
RedEdge_NONE_mean,0.002596402859031803
Wideband_Blue_MEAN_I_25th,0.002412393162393162
Blue_MEAN_I_25th,0.0023200701917588116
Red_HOMOGENEITY_mean,0.0021098831746118522
NIR_glcm_mean,0.0019120728227010359
Blue_HOMOGENEITY_75th,0.0015695373502827745
NIR_HOMOGENEITY_median,0.0012549603174603163
Blue_ASM_75th,0.000781512605042017
