,value,importances,id
0,r_glcm_mean,0.032585894890267045,9
1,r_mean_homogeneity,0.01907566324527455,9
2,r_mean_contrast,0.04058281993768991,9
3,r_mean_ASM,0.058463119842095665,9
4,r_mean_correlation,0.052861638825542435,9
5,r_mean_energy,0.04013910093875368,9
6,g_raw_mean,0.06822347914154366,9
7,g_glcm_mean,0.06915130502593485,9
8,g_mean_homogeneity,0.018396589851744038,9
9,g_mean_ASM,0.054213123211344326,9
10,g_mean_correlation,0.04840591114225718,9
11,g_mean_energy,0.053793261439060235,9
12,b_raw_mean,0.07915164292113483,9
13,b_glcm_mean,0.05522258836361702,9
14,b_mean_contrast,0.01754974020875081,9
15,b_mean_dissimilarity,0.02869160471668176,9
16,b_mean_ASM,0.05698603124611288,9
17,b_mean_correlation,0.03644298116455987,9
18,b_mean_energy,0.053036860299710185,9
19,RE_glcm_mean,0.10354702952007569,9
20,NIR_glcm_mean,0.013479614067849342,9
0,r_glcm_mean,0.02501365239078087,10
1,r_mean_homogeneity,0.029926225116432153,10
2,r_mean_contrast,0.02717323462548088,10
3,r_mean_ASM,0.03258024658046009,10
4,r_mean_correlation,0.07488656527041522,10
5,r_mean_energy,0.05014432483304845,10
6,g_raw_mean,0.07359979644093065,10
7,g_glcm_mean,0.09669946425924604,10
8,g_mean_homogeneity,0.019205901952472293,10
9,g_mean_ASM,0.005500821018062398,10
10,g_mean_correlation,0.048764067500331396,10
11,g_mean_energy,0.05204367564381636,10
12,b_raw_mean,0.07426228835500497,10
13,b_glcm_mean,0.07059972587602921,10
14,b_mean_contrast,0.013338573986829385,10
15,b_mean_dissimilarity,0.011011945007888213,10
16,b_mean_ASM,0.012600858287961281,10
17,b_mean_correlation,0.048617552864963616,10
18,b_mean_energy,0.04154532685456942,10
19,RE_glcm_mean,0.10126563132966146,10
20,NIR_glcm_mean,0.09122012180561566,10
0,r_glcm_mean,0.0527823107783719,1
1,r_mean_homogeneity,0.020137671883759062,1
2,r_mean_contrast,0.04309038262719565,1
3,r_mean_ASM,0.019761288298651054,1
4,r_mean_correlation,0.039809289452456806,1
5,r_mean_energy,0.03656919084517586,1
6,g_raw_mean,0.07897932021939102,1
7,g_glcm_mean,0.1054779139992447,1
8,g_mean_homogeneity,0.01607976424996157,1
9,g_mean_ASM,0.0784261174067447,1
10,g_mean_correlation,0.04806591110067342,1
11,g_mean_energy,0.037425640013811476,1
12,b_raw_mean,0.09263436858729625,1
13,b_glcm_mean,0.05554467866057927,1
14,b_mean_contrast,0.0,1
15,b_mean_dissimilarity,0.019183056239497502,1
16,b_mean_ASM,0.05476859221152543,1
17,b_mean_correlation,0.0407833444204949,1
18,b_mean_energy,0.08045125358967928,1
19,RE_glcm_mean,0.034071725665189165,1
20,NIR_glcm_mean,0.04595817975030103,1
0,r_glcm_mean,0.032585894890267045,9
1,r_mean_homogeneity,0.01907566324527455,9
2,r_mean_contrast,0.04058281993768991,9
3,r_mean_ASM,0.058463119842095665,9
4,r_mean_correlation,0.052861638825542435,9
5,r_mean_energy,0.04013910093875368,9
6,g_raw_mean,0.06822347914154366,9
7,g_glcm_mean,0.06915130502593485,9
8,g_mean_homogeneity,0.018396589851744038,9
9,g_mean_ASM,0.054213123211344326,9
10,g_mean_correlation,0.04840591114225718,9
11,g_mean_energy,0.053793261439060235,9
12,b_raw_mean,0.07915164292113483,9
13,b_glcm_mean,0.05522258836361702,9
14,b_mean_contrast,0.01754974020875081,9
15,b_mean_dissimilarity,0.02869160471668176,9
16,b_mean_ASM,0.05698603124611288,9
17,b_mean_correlation,0.03644298116455987,9
18,b_mean_energy,0.053036860299710185,9
19,RE_glcm_mean,0.10354702952007569,9
20,NIR_glcm_mean,0.013479614067849342,9
0,r_glcm_mean,0.032585894890267045,9
1,r_mean_homogeneity,0.01907566324527455,9
2,r_mean_contrast,0.04058281993768991,9
3,r_mean_ASM,0.058463119842095665,9
4,r_mean_correlation,0.052861638825542435,9
5,r_mean_energy,0.04013910093875368,9
6,g_raw_mean,0.06822347914154366,9
7,g_glcm_mean,0.06915130502593485,9
8,g_mean_homogeneity,0.018396589851744038,9
9,g_mean_ASM,0.054213123211344326,9
10,g_mean_correlation,0.04840591114225718,9
11,g_mean_energy,0.053793261439060235,9
12,b_raw_mean,0.07915164292113483,9
13,b_glcm_mean,0.05522258836361702,9
14,b_mean_contrast,0.01754974020875081,9
15,b_mean_dissimilarity,0.02869160471668176,9
16,b_mean_ASM,0.05698603124611288,9
17,b_mean_correlation,0.03644298116455987,9
18,b_mean_energy,0.053036860299710185,9
19,RE_glcm_mean,0.10354702952007569,9
20,NIR_glcm_mean,0.013479614067849342,9
0,r_glcm_mean,0.04488869157531708,16
1,r_mean_homogeneity,0.05339689394727086,16
2,r_mean_contrast,0.03360647797672591,16
3,r_mean_ASM,0.007870400798432339,16
4,r_mean_correlation,0.0714619945801585,16
5,r_mean_energy,0.057823587173824784,16
6,g_raw_mean,0.05491312048036295,16
7,g_glcm_mean,0.08910661943873659,16
8,g_mean_homogeneity,0.045131411684109606,16
9,g_mean_ASM,0.051028460479518076,16
10,g_mean_correlation,0.014789674840230959,16
11,g_mean_energy,0.010151950703464283,16
12,b_raw_mean,0.06335305329417404,16
13,b_glcm_mean,0.07223191738563474,16
14,b_mean_contrast,0.04514569119801275,16
15,b_mean_dissimilarity,0.02328264111101581,16
16,b_mean_ASM,0.08135351759354517,16
17,b_mean_correlation,0.028920638502316267,16
18,b_mean_energy,0.029016093633873623,16
19,RE_glcm_mean,0.07654671504840198,16
20,NIR_glcm_mean,0.045980448554873814,16
0,r_glcm_mean,0.054381985286161914,19
1,r_mean_homogeneity,0.019427067534474173,19
2,r_mean_contrast,0.02176125835904341,19
3,r_mean_ASM,0.03392772435438294,19
4,r_mean_correlation,0.060599275576627656,19
5,r_mean_energy,0.015692774487663135,19
6,g_raw_mean,0.05625366634490725,19
7,g_glcm_mean,0.10123514997504932,19
8,g_mean_homogeneity,0.06081079157985705,19
9,g_mean_ASM,0.040534008697937315,19
10,g_mean_correlation,0.05323308926329854,19
11,g_mean_energy,0.04292915083838006,19
12,b_raw_mean,0.05355370382044293,19
13,b_glcm_mean,0.07564410298101061,19
14,b_mean_contrast,0.008078715691351632,19
15,b_mean_dissimilarity,0.008294577201105406,19
16,b_mean_ASM,0.06571671093492225,19
17,b_mean_correlation,0.06444643533828662,19
18,b_mean_energy,0.01582069957183685,19
19,RE_glcm_mean,0.09578635763085072,19
20,NIR_glcm_mean,0.05187275453241018,19
0,r_glcm_mean,0.04488869157531708,16
1,r_mean_homogeneity,0.05339689394727086,16
2,r_mean_contrast,0.03360647797672591,16
3,r_mean_ASM,0.007870400798432339,16
4,r_mean_correlation,0.0714619945801585,16
5,r_mean_energy,0.057823587173824784,16
6,g_raw_mean,0.05491312048036295,16
7,g_glcm_mean,0.08910661943873659,16
8,g_mean_homogeneity,0.045131411684109606,16
9,g_mean_ASM,0.051028460479518076,16
10,g_mean_correlation,0.014789674840230959,16
11,g_mean_energy,0.010151950703464283,16
12,b_raw_mean,0.06335305329417404,16
13,b_glcm_mean,0.07223191738563474,16
14,b_mean_contrast,0.04514569119801275,16
15,b_mean_dissimilarity,0.02328264111101581,16
16,b_mean_ASM,0.08135351759354517,16
17,b_mean_correlation,0.028920638502316267,16
18,b_mean_energy,0.029016093633873623,16
19,RE_glcm_mean,0.07654671504840198,16
20,NIR_glcm_mean,0.045980448554873814,16
0,r_glcm_mean,0.0619466232471644,15
1,r_mean_homogeneity,0.022039450862143865,15
2,r_mean_contrast,0.02670762474068642,15
3,r_mean_ASM,0.020123924610975653,15
4,r_mean_correlation,0.05918245220440701,15
5,r_mean_energy,0.017851346384520312,15
6,g_raw_mean,0.07396541491700753,15
7,g_glcm_mean,0.09688462136274441,15
8,g_mean_homogeneity,0.027716037514745284,15
9,g_mean_ASM,0.05466155069068575,15
10,g_mean_correlation,0.04438213535336897,15
11,g_mean_energy,0.052260102975676695,15
12,b_raw_mean,0.04149516364969792,15
13,b_glcm_mean,0.0768924535176537,15
14,b_mean_contrast,0.02943629527557127,15
15,b_mean_dissimilarity,0.026348804463555874,15
16,b_mean_ASM,0.04504584468443636,15
17,b_mean_correlation,0.07087994431462692,15
18,b_mean_energy,0.02004989530240963,15
19,RE_glcm_mean,0.06069687499381242,15
20,NIR_glcm_mean,0.07143343893410964,15
0,r_glcm_mean,0.04343360300283197,18
1,r_mean_homogeneity,0.031247702286500083,18
2,r_mean_contrast,0.04416973842388076,18
3,r_mean_ASM,0.020745418821925498,18
4,r_mean_correlation,0.05048217771720723,18
5,r_mean_energy,0.026270695498984708,18
6,g_raw_mean,0.10358741633577392,18
7,g_glcm_mean,0.1082985502705718,18
8,g_mean_homogeneity,0.025037698892323584,18
9,g_mean_ASM,0.05593511996807427,18
10,g_mean_correlation,0.05978420548877453,18
11,g_mean_energy,0.04756458991403761,18
12,b_raw_mean,0.06310821530173813,18
13,b_glcm_mean,0.04748943053423061,18
14,b_mean_contrast,0.012073406274213293,18
15,b_mean_dissimilarity,0.019866178877442953,18
16,b_mean_ASM,0.034582265423121754,18
17,b_mean_correlation,0.039304277978879774,18
18,b_mean_energy,0.03125819478047793,18
19,RE_glcm_mean,0.09274959687232671,18
20,NIR_glcm_mean,0.04301151733668269,18
0,r_glcm_mean,0.026786507666015126,4
1,r_mean_homogeneity,0.036916722220266304,4
2,r_mean_contrast,0.012774567880210674,4
3,r_mean_ASM,0.05581367376955741,4
4,r_mean_correlation,0.06297551212326592,4
5,r_mean_energy,0.012829989227464292,4
6,g_raw_mean,0.05955572692016472,4
7,g_glcm_mean,0.07396634217459352,4
8,g_mean_homogeneity,0.01887880350644674,4
9,g_mean_ASM,0.0411003055284111,4
10,g_mean_correlation,0.057901068227035946,4
11,g_mean_energy,0.06095781182800917,4
12,b_raw_mean,0.05368928472800366,4
13,b_glcm_mean,0.05373155244899967,4
14,b_mean_contrast,0.021550804160340685,4
15,b_mean_dissimilarity,0.022453022372435245,4
16,b_mean_ASM,0.03618434052690286,4
17,b_mean_correlation,0.059201377413213664,4
18,b_mean_energy,0.045992241209305694,4
19,RE_glcm_mean,0.0889599381367142,4
20,NIR_glcm_mean,0.09778040793264332,4
0,r_glcm_mean,0.04860158202209841,6
1,r_mean_homogeneity,0.030947050529497713,6
2,r_mean_contrast,0.03301625598634552,6
3,r_mean_ASM,0.006356502242152467,6
4,r_mean_correlation,0.10745746630486683,6
5,r_mean_energy,0.021360295953550764,6
6,g_raw_mean,0.08228929520629825,6
7,g_glcm_mean,0.09830711756432395,6
8,g_mean_homogeneity,0.015115540367621597,6
9,g_mean_ASM,0.05497256563895489,6
10,g_mean_correlation,0.08188390315639126,6
11,g_mean_energy,0.03742628122617939,6
12,b_raw_mean,0.038633395031208,6
13,b_glcm_mean,0.023908097246110017,6
14,b_mean_contrast,0.0035313901345291475,6
15,b_mean_dissimilarity,0.02179653267289007,6
16,b_mean_ASM,0.038060023197186994,6
17,b_mean_correlation,0.038601751012209536,6
18,b_mean_energy,0.04722686350057831,6
19,RE_glcm_mean,0.08615030925768064,6
20,NIR_glcm_mean,0.08435778174932611,6
0,r_glcm_mean,0.026786507666015126,4
1,r_mean_homogeneity,0.036916722220266304,4
2,r_mean_contrast,0.012774567880210674,4
3,r_mean_ASM,0.05581367376955741,4
4,r_mean_correlation,0.06297551212326592,4
5,r_mean_energy,0.012829989227464292,4
6,g_raw_mean,0.05955572692016472,4
7,g_glcm_mean,0.07396634217459352,4
8,g_mean_homogeneity,0.01887880350644674,4
9,g_mean_ASM,0.0411003055284111,4
10,g_mean_correlation,0.057901068227035946,4
11,g_mean_energy,0.06095781182800917,4
12,b_raw_mean,0.05368928472800366,4
13,b_glcm_mean,0.05373155244899967,4
14,b_mean_contrast,0.021550804160340685,4
15,b_mean_dissimilarity,0.022453022372435245,4
16,b_mean_ASM,0.03618434052690286,4
17,b_mean_correlation,0.059201377413213664,4
18,b_mean_energy,0.045992241209305694,4
19,RE_glcm_mean,0.0889599381367142,4
20,NIR_glcm_mean,0.09778040793264332,4
0,r_glcm_mean,0.0523083313248342,0
1,r_mean_homogeneity,0.04868593672317628,0
2,r_mean_contrast,0.030313091207670097,0
3,r_mean_ASM,0.034453490125131915,0
4,r_mean_correlation,0.059954336913589534,0
5,r_mean_energy,0.051709763381886625,0
6,g_raw_mean,0.07489339500368068,0
7,g_glcm_mean,0.05902491127003859,0
8,g_mean_homogeneity,0.005105348460291734,0
9,g_mean_ASM,0.04142555787267336,0
10,g_mean_correlation,0.05075720950501535,0
11,g_mean_energy,0.03562432711827802,0
12,b_raw_mean,0.1109645168633574,0
13,b_glcm_mean,0.07599425855459437,0
14,b_mean_contrast,0.021117049751096992,0
15,b_mean_dissimilarity,0.01667049545775096,0
16,b_mean_ASM,0.03908670292723965,0
17,b_mean_correlation,0.019950106811695505,0
18,b_mean_energy,0.04893523721997287,0
19,RE_glcm_mean,0.0659816795127422,0
20,NIR_glcm_mean,0.05704425399528388,0
0,r_glcm_mean,0.04488869157531708,16
1,r_mean_homogeneity,0.05339689394727086,16
2,r_mean_contrast,0.03360647797672591,16
3,r_mean_ASM,0.007870400798432339,16
4,r_mean_correlation,0.0714619945801585,16
5,r_mean_energy,0.057823587173824784,16
6,g_raw_mean,0.05491312048036295,16
7,g_glcm_mean,0.08910661943873659,16
8,g_mean_homogeneity,0.045131411684109606,16
9,g_mean_ASM,0.051028460479518076,16
10,g_mean_correlation,0.014789674840230959,16
11,g_mean_energy,0.010151950703464283,16
12,b_raw_mean,0.06335305329417404,16
13,b_glcm_mean,0.07223191738563474,16
14,b_mean_contrast,0.04514569119801275,16
15,b_mean_dissimilarity,0.02328264111101581,16
16,b_mean_ASM,0.08135351759354517,16
17,b_mean_correlation,0.028920638502316267,16
18,b_mean_energy,0.029016093633873623,16
19,RE_glcm_mean,0.07654671504840198,16
20,NIR_glcm_mean,0.045980448554873814,16
0,r_glcm_mean,0.04860158202209841,6
1,r_mean_homogeneity,0.030947050529497713,6
2,r_mean_contrast,0.03301625598634552,6
3,r_mean_ASM,0.006356502242152467,6
4,r_mean_correlation,0.10745746630486683,6
5,r_mean_energy,0.021360295953550764,6
6,g_raw_mean,0.08228929520629825,6
7,g_glcm_mean,0.09830711756432395,6
8,g_mean_homogeneity,0.015115540367621597,6
9,g_mean_ASM,0.05497256563895489,6
10,g_mean_correlation,0.08188390315639126,6
11,g_mean_energy,0.03742628122617939,6
12,b_raw_mean,0.038633395031208,6
13,b_glcm_mean,0.023908097246110017,6
14,b_mean_contrast,0.0035313901345291475,6
15,b_mean_dissimilarity,0.02179653267289007,6
16,b_mean_ASM,0.038060023197186994,6
17,b_mean_correlation,0.038601751012209536,6
18,b_mean_energy,0.04722686350057831,6
