,value,importances,id
0,r_glcm_mean,0.08076788991522878,8
1,r_mean_contrast,0.0,8
2,r_mean_dissimilarity,0.03757385657670255,8
3,r_mean_ASM,0.060038313386878886,8
4,r_mean_correlation,0.018274111675126905,8
5,g_raw_mean,0.08322899869590865,8
6,g_glcm_mean,0.09402973870626954,8
7,g_mean_homogeneity,0.024492645689815677,8
8,g_mean_contrast,0.09854220326425352,8
9,g_mean_ASM,0.042696048443581505,8
10,g_mean_correlation,0.08326143946171302,8
11,g_mean_energy,0.06196962600036676,8
12,b_glcm_mean,0.0534696103086818,8
13,b_mean_contrast,0.07238419238896786,8
14,b_mean_dissimilarity,0.08486548752136885,8
15,b_mean_ASM,0.05851992634858068,8
16,b_mean_correlation,0.012722646310432573,8
17,RE_glcm_mean,0.033163265306122444,8
0,r_glcm_mean,0.058357087614628225,9
1,r_mean_contrast,0.039865451437071917,9
2,r_mean_dissimilarity,0.0882784844214396,9
3,r_mean_ASM,0.1022578772793377,9
4,r_mean_correlation,0.03832621040097515,9
5,g_raw_mean,0.04911435880188393,9
6,g_glcm_mean,0.04807042489708181,9
7,g_mean_homogeneity,0.06317227283413374,9
8,g_mean_contrast,0.04306294202446302,9
9,g_mean_ASM,0.0,9
10,g_mean_correlation,0.12851639197815423,9
11,g_mean_energy,0.024418832933699803,9
12,b_glcm_mean,0.03821303801340257,9
13,b_mean_contrast,0.07655391154555244,9
14,b_mean_dissimilarity,0.12318510031303911,9
15,b_mean_ASM,0.035836385836385834,9
16,b_mean_correlation,0.011454965357967665,9
17,RE_glcm_mean,0.03131626431078334,9
0,r_glcm_mean,0.08000245133007881,1
1,r_mean_contrast,0.0440028381783701,1
2,r_mean_dissimilarity,0.13994354263680917,1
3,r_mean_ASM,0.1049136252505047,1
4,r_mean_correlation,0.06725216311069242,1
5,g_raw_mean,0.04992619411059127,1
6,g_glcm_mean,0.0692553817669827,1
7,g_mean_homogeneity,0.03238718744519209,1
8,g_mean_contrast,0.037788494667927275,1
9,g_mean_ASM,0.0,1
10,g_mean_correlation,0.027803643362154,1
11,g_mean_energy,0.08407034810543582,1
12,b_glcm_mean,0.02625915750915751,1
13,b_mean_contrast,0.08391017719513222,1
14,b_mean_dissimilarity,0.05547609122249987,1
15,b_mean_ASM,0.017142857142857133,1
16,b_mean_correlation,0.0665325136322816,1
17,RE_glcm_mean,0.013333333333333332,1
0,r_glcm_mean,0.08076788991522878,8
1,r_mean_contrast,0.0,8
2,r_mean_dissimilarity,0.03757385657670255,8
3,r_mean_ASM,0.060038313386878886,8
4,r_mean_correlation,0.018274111675126905,8
5,g_raw_mean,0.08322899869590865,8
6,g_glcm_mean,0.09402973870626954,8
7,g_mean_homogeneity,0.024492645689815677,8
8,g_mean_contrast,0.09854220326425352,8
9,g_mean_ASM,0.042696048443581505,8
10,g_mean_correlation,0.08326143946171302,8
11,g_mean_energy,0.06196962600036676,8
12,b_glcm_mean,0.0534696103086818,8
13,b_mean_contrast,0.07238419238896786,8
14,b_mean_dissimilarity,0.08486548752136885,8
15,b_mean_ASM,0.05851992634858068,8
16,b_mean_correlation,0.012722646310432573,8
17,RE_glcm_mean,0.033163265306122444,8
0,r_glcm_mean,0.08076788991522878,8
1,r_mean_contrast,0.0,8
2,r_mean_dissimilarity,0.03757385657670255,8
3,r_mean_ASM,0.060038313386878886,8
4,r_mean_correlation,0.018274111675126905,8
5,g_raw_mean,0.08322899869590865,8
6,g_glcm_mean,0.09402973870626954,8
7,g_mean_homogeneity,0.024492645689815677,8
8,g_mean_contrast,0.09854220326425352,8
9,g_mean_ASM,0.042696048443581505,8
10,g_mean_correlation,0.08326143946171302,8
11,g_mean_energy,0.06196962600036676,8
12,b_glcm_mean,0.0534696103086818,8
13,b_mean_contrast,0.07238419238896786,8
14,b_mean_dissimilarity,0.08486548752136885,8
15,b_mean_ASM,0.05851992634858068,8
