,value,importances,id
0,Wideband_Red_MEAN_I_25th,0.10687631843157341,3
1,Wideband_Blue_NONE_mean,0.025258758242844438,3
2,Wideband_Blue_NONE_median,0.028693044401766194,3
3,Wideband_Blue_NONE_75th,0.10784016631886666,3
4,RedEdge_NONE_75th,0.12245318732127763,3
5,RedEdge_HOMOGENEITY_mean,0.09574660683527864,3
6,RedEdge_MEAN_I_75th,0.04319048204031424,3
7,NIR_NONE_median,0.10258735150600211,3
8,NIR_NONE_25th,0.02765279956416783,3
9,NIR_HOMOGENEITY_75th,0.04026251597294235,3
10,Red_HOMOGENEITY_mean,0.029806845503417334,3
11,Red_HOMOGENEITY_median,0.028225109547779646,3
12,Red_HOMOGENEITY_75th,0.046695388339004135,3
13,Red_MEAN_I_median,0.06283139686670555,3
14,Green_HOMOGENEITY_mean,0.04227678262286437,3
15,Green_MEAN_I_mean,0.029495371984043988,3
16,Green_MEAN_I_25th,0.06010787450115146,3
0,Wideband_Red_MEAN_I_25th,0.0919153041098589,1
1,Wideband_Blue_NONE_mean,0.05116297902012188,1
2,Wideband_Blue_NONE_median,0.05244324053751115,1
3,Wideband_Blue_NONE_75th,0.10083341958341956,1
4,RedEdge_NONE_75th,0.1155636537347986,1
5,RedEdge_HOMOGENEITY_mean,0.07381551541750646,1
6,RedEdge_MEAN_I_75th,0.033065208065208074,1
7,NIR_NONE_median,0.10117691360805367,1
8,NIR_NONE_25th,0.050081673261820316,1
9,NIR_HOMOGENEITY_75th,0.07191883422616405,1
10,Red_HOMOGENEITY_mean,0.06873186204294349,1
11,Red_HOMOGENEITY_median,0.030140770687645684,1
12,Red_HOMOGENEITY_75th,0.028318528318528317,1
13,Red_MEAN_I_median,0.04531922437354681,1
14,Green_HOMOGENEITY_mean,0.05826035826035826,1
15,Green_MEAN_I_mean,0.027252514752514757,1
16,Green_MEAN_I_25th,0.0,1
0,Wideband_Red_MEAN_I_25th,0.044075805861543534,15
1,Wideband_Blue_NONE_mean,0.03406321790181231,15
2,Wideband_Blue_NONE_median,0.015637513171759748,15
3,Wideband_Blue_NONE_75th,0.08858422533156207,15
4,RedEdge_NONE_75th,0.12318609341973301,15
5,RedEdge_HOMOGENEITY_mean,0.015491983339039145,15
6,RedEdge_MEAN_I_75th,0.06074775268476059,15
7,NIR_NONE_median,0.08704550648769238,15
8,NIR_NONE_25th,0.05978745807458998,15
9,NIR_HOMOGENEITY_75th,0.07216078968389823,15
10,Red_HOMOGENEITY_mean,0.12251212802565078,15
11,Red_HOMOGENEITY_median,0.05197800907131076,15
12,Red_HOMOGENEITY_75th,0.06715735848014236,15
13,Red_MEAN_I_median,0.055063458975664156,15
14,Green_HOMOGENEITY_mean,0.019150010094891985,15
15,Green_MEAN_I_mean,0.05422626930462478,15
16,Green_MEAN_I_25th,0.0291324200913242,15
0,Wideband_Red_MEAN_I_25th,0.07018964928985234,18
1,Wideband_Blue_NONE_mean,0.08064579669869314,18
2,Wideband_Blue_NONE_median,0.04174435694864132,18
3,Wideband_Blue_NONE_75th,0.11019843017169428,18
4,RedEdge_NONE_75th,0.10792972769255896,18
5,RedEdge_HOMOGENEITY_mean,0.021178972398730622,18
6,RedEdge_MEAN_I_75th,0.011371712864250181,18
7,NIR_NONE_median,0.11447666762117018,18
8,NIR_NONE_25th,0.012665429808286954,18
9,NIR_HOMOGENEITY_75th,0.0935337175845277,18
10,Red_HOMOGENEITY_mean,0.07653160876600926,18
11,Red_HOMOGENEITY_median,0.0,18
12,Red_HOMOGENEITY_75th,0.07752918274169107,18
13,Red_MEAN_I_median,0.08352294624257794,18
14,Green_HOMOGENEITY_mean,0.06905728540318798,18
15,Green_MEAN_I_mean,0.029424515768128108,18
16,Green_MEAN_I_25th,0.0,18
0,Wideband_Red_MEAN_I_25th,0.052423637369839175,0
1,Wideband_Blue_NONE_mean,0.07735228877836062,0
2,Wideband_Blue_NONE_median,0.05770846409036206,0
3,Wideband_Blue_NONE_75th,0.12080528718479942,0
4,RedEdge_NONE_75th,0.12795724781290801,0
5,RedEdge_HOMOGENEITY_mean,0.018141600183853707,0
6,RedEdge_MEAN_I_75th,0.02584769679792304,0
7,NIR_NONE_median,0.07754293838315472,0
8,NIR_NONE_25th,0.01161592505854801,0
9,NIR_HOMOGENEITY_75th,0.0696306663563241,0
10,Red_HOMOGENEITY_mean,0.1006242684513668,0
11,Red_HOMOGENEITY_median,0.012043512043512046,0
12,Red_HOMOGENEITY_75th,0.05676697498738464,0
13,Red_MEAN_I_median,0.08720950768034216,0
14,Green_HOMOGENEITY_mean,0.052025178172651274,0
15,Green_MEAN_I_mean,0.05230480664867034,0
16,Green_MEAN_I_25th,0.0,0
0,Wideband_Red_MEAN_I_25th,0.09596508674505382,16
