,value,importances,id
0,r_raw_mean,0.048957175848127116,9
1,r_glcm_mean,0.030174572595689092,9
2,r_mean_correlation,0.0766420195234,9
3,g_raw_mean,0.1152285334491707,9
4,g_glcm_mean,0.08062792122988129,9
5,g_mean_homogeneity,0.04676481754904028,9
6,g_mean_contrast,0.07220320192825992,9
7,g_mean_ASM,0.03360894326091541,9
8,b_raw_mean,0.08716688364234149,9
9,b_glcm_mean,0.06490989875819972,9
10,b_mean_homogeneity,0.037580323636006094,9
11,b_mean_contrast,0.0713830682868911,9
12,b_mean_dissimilarity,0.026339160839160835,9
13,b_mean_ASM,0.061344036801925135,9
14,b_mean_energy,0.09326865128549444,9
15,RE_glcm_mean,0.036797761062466926,9
16,NIR_glcm_mean,0.0170030303030303,9
0,r_raw_mean,0.0,10
1,r_glcm_mean,0.05393520961762647,10
2,r_mean_correlation,0.052301025533322366,10
3,g_raw_mean,0.05643354314366522,10
4,g_glcm_mean,0.13373145790045612,10
5,g_mean_homogeneity,0.057673884000386,10
6,g_mean_contrast,0.07752826571559879,10
7,g_mean_ASM,0.06381908998294347,10
8,b_raw_mean,0.08084587864047188,10
9,b_glcm_mean,0.06732077034686548,10
10,b_mean_homogeneity,0.024242659565784273,10
11,b_mean_contrast,0.017777777777777774,10
12,b_mean_dissimilarity,0.04620634187244384,10
13,b_mean_ASM,0.11144768316162548,10
14,b_mean_energy,0.043543193252447265,10
15,RE_glcm_mean,0.11319321948858556,10
16,NIR_glcm_mean,0.0,10
0,r_raw_mean,0.12420266997250531,1
1,r_glcm_mean,0.01137171286425018,1
2,r_mean_correlation,0.0646806945938244,1
3,g_raw_mean,0.03510698690644087,1
4,g_glcm_mean,0.1485668860621327,1
5,g_mean_homogeneity,0.054162399396806025,1
6,g_mean_contrast,0.080281600773628,1
7,g_mean_ASM,0.11259226999927816,1
8,b_raw_mean,0.0697850498184864,1
9,b_glcm_mean,0.05613781063879577,1
10,b_mean_homogeneity,0.05568709771241417,1
11,b_mean_contrast,0.018194740582800285,1
12,b_mean_dissimilarity,0.020723018191372622,1
13,b_mean_ASM,0.03568107999754681,1
14,b_mean_energy,0.05883722439096828,1
15,RE_glcm_mean,0.03389456657598706,1
16,NIR_glcm_mean,0.020094191522762952,1
0,r_raw_mean,0.048957175848127116,9
1,r_glcm_mean,0.030174572595689092,9
2,r_mean_correlation,0.0766420195234,9
3,g_raw_mean,0.1152285334491707,9
4,g_glcm_mean,0.08062792122988129,9
5,g_mean_homogeneity,0.04676481754904028,9
6,g_mean_contrast,0.07220320192825992,9
7,g_mean_ASM,0.03360894326091541,9
8,b_raw_mean,0.08716688364234149,9
9,b_glcm_mean,0.06490989875819972,9
10,b_mean_homogeneity,0.037580323636006094,9
11,b_mean_contrast,0.0713830682868911,9
12,b_mean_dissimilarity,0.026339160839160835,9
13,b_mean_ASM,0.061344036801925135,9
14,b_mean_energy,0.09326865128549444,9
15,RE_glcm_mean,0.036797761062466926,9
16,NIR_glcm_mean,0.0170030303030303,9
0,r_raw_mean,0.048957175848127116,9
1,r_glcm_mean,0.030174572595689092,9
2,r_mean_correlation,0.0766420195234,9
3,g_raw_mean,0.1152285334491707,9
4,g_glcm_mean,0.08062792122988129,9
5,g_mean_homogeneity,0.04676481754904028,9
6,g_mean_contrast,0.07220320192825992,9
7,g_mean_ASM,0.03360894326091541,9
8,b_raw_mean,0.08716688364234149,9
9,b_glcm_mean,0.06490989875819972,9
10,b_mean_homogeneity,0.037580323636006094,9
11,b_mean_contrast,0.0713830682868911,9
12,b_mean_dissimilarity,0.026339160839160835,9
13,b_mean_ASM,0.061344036801925135,9
14,b_mean_energy,0.09326865128549444,9
15,RE_glcm_mean,0.036797761062466926,9
16,NIR_glcm_mean,0.0170030303030303,9
0,r_raw_mean,0.07992994538218336,16
1,r_glcm_mean,0.021743812656641603,16
2,r_mean_correlation,0.06283100316396857,16
3,g_raw_mean,0.06640409268804046,16
4,g_glcm_mean,0.10261374076384884,16
5,g_mean_homogeneity,0.12081520202977977,16
6,g_mean_contrast,0.12851957545920836,16
7,g_mean_ASM,0.05027275310218415,16
8,b_raw_mean,0.03545181011523546,16
9,b_glcm_mean,0.04834359796904986,16
10,b_mean_homogeneity,0.10427567173724346,16
11,b_mean_contrast,0.0,16
12,b_mean_dissimilarity,0.03129966873208494,16
