,value,importances,id
0,Wideband_Red_MEAN_I_25th,0.052365029421313464,0
1,Wideband_Red_MEAN_I_75th,0.04467867159747199,0
2,Wideband_Blue_NONE_mean,0.08655442744468864,0
3,Wideband_Blue_NONE_median,0.037595581379449454,0
4,Wideband_Blue_NONE_25th,0.02225031605562579,0
5,Wideband_Blue_MEAN_I_25th,0.07193198686867883,0
6,RedEdge_NONE_mean,0.0459547765212262,0
7,RedEdge_NONE_75th,0.0631882335915502,0
8,RedEdge_HOMOGENEITY_mean,0.020058084870771587,0
9,RedEdge_HOMOGENEITY_25th,0.07938043827741285,0
10,RedEdge_HOMOGENEITY_75th,0.024675101705669392,0
11,RedEdge_MEAN_I_75th,0.041264668044130835,0
12,NIR_NONE_75th,0.020335985853227243,0
13,NIR_HOMOGENEITY_median,0.07942381049499367,0
14,NIR_HOMOGENEITY_25th,0.034009491458191085,0
15,NIR_HOMOGENEITY_75th,0.06234286772349585,0
16,Red_HOMOGENEITY_mean,0.0408259587020649,0
17,Red_HOMOGENEITY_median,0.0690754438594505,0
18,Green_NONE_75th,0.020811405964244394,0
19,Green_HOMOGENEITY_mean,0.016633724048111552,0
20,Green_HOMOGENEITY_75th,0.0336488936823131,0
21,Green_MEAN_I_median,0.03299510243591863,0
0,Wideband_Red_MEAN_I_25th,0.07016416616318148,1
1,Wideband_Red_MEAN_I_75th,0.06517610358365737,1
2,Wideband_Blue_NONE_mean,0.01415929203539823,1
3,Wideband_Blue_NONE_median,0.008259587020648967,1
4,Wideband_Blue_NONE_25th,0.020227560050568902,1
5,Wideband_Blue_MEAN_I_25th,0.07520719476013585,1
6,RedEdge_NONE_mean,0.06373593700079301,1
7,RedEdge_NONE_75th,0.012950699043414273,1
8,RedEdge_HOMOGENEITY_mean,0.020058084870771584,1
9,RedEdge_HOMOGENEITY_25th,0.12314416234390706,1
10,RedEdge_HOMOGENEITY_75th,0.02467510170566939,1
11,RedEdge_MEAN_I_75th,0.05876366070184637,1
12,NIR_NONE_75th,0.02033598585322724,1
13,NIR_HOMOGENEITY_median,0.10260320634253939,1
14,NIR_HOMOGENEITY_25th,0.03164960945229137,1
15,NIR_HOMOGENEITY_75th,0.03593660057504007,1
16,Red_HOMOGENEITY_mean,0.02316975060337891,1
17,Red_HOMOGENEITY_median,0.0460333104523475,1
18,Green_NONE_75th,0.05750384306978649,1
19,Green_HOMOGENEITY_mean,0.05156765319123333,1
20,Green_HOMOGENEITY_75th,0.01816504046592542,1
21,Green_MEAN_I_median,0.0565134507142378,1
0,Wideband_Red_MEAN_I_25th,0.08449111590132555,19
1,Wideband_Red_MEAN_I_75th,0.06674622238485942,19
2,Wideband_Blue_NONE_mean,0.039722575478304274,19
3,Wideband_Blue_NONE_median,0.05090110740944079,19
4,Wideband_Blue_NONE_25th,0.019773391812865505,19
5,Wideband_Blue_MEAN_I_25th,0.045318384593717086,19
6,RedEdge_NONE_mean,0.02591002197332934,19
7,RedEdge_NONE_75th,0.0188289813056488,19
8,RedEdge_HOMOGENEITY_mean,0.02454566628955115,19
9,RedEdge_HOMOGENEITY_25th,0.08677882265277435,19
10,RedEdge_HOMOGENEITY_75th,0.07705803425190637,19
11,RedEdge_MEAN_I_75th,0.033558784832224096,19
12,NIR_NONE_75th,0.03812407415120297,19
13,NIR_HOMOGENEITY_median,0.037135957353826375,19
14,NIR_HOMOGENEITY_25th,0.05194985855578759,19
15,NIR_HOMOGENEITY_75th,0.0429268138456623,19
16,Red_HOMOGENEITY_mean,0.0187455047962309,19
17,Red_HOMOGENEITY_median,0.06788286599980288,19
18,Green_NONE_75th,0.032659275266570705,19
19,Green_HOMOGENEITY_mean,0.025097232656669667,19
20,Green_HOMOGENEITY_75th,0.07981241457389604,19
21,Green_MEAN_I_median,0.03203289391440405,19
0,Wideband_Red_MEAN_I_25th,0.11858519493290995,16
1,Wideband_Red_MEAN_I_75th,0.06804839669649938,16
2,Wideband_Blue_NONE_mean,0.11709767889294485,16
3,Wideband_Blue_NONE_median,0.018872549019607852,16
4,Wideband_Blue_NONE_25th,0.03173806107808979,16
5,Wideband_Blue_MEAN_I_25th,0.03968364949539218,16
6,RedEdge_NONE_mean,0.0,16
7,RedEdge_NONE_75th,0.045684558215967556,16
8,RedEdge_HOMOGENEITY_mean,0.013472706155632987,16
9,RedEdge_HOMOGENEITY_25th,0.08416178139854988,16
10,RedEdge_HOMOGENEITY_75th,0.022188799762329178,16
11,RedEdge_MEAN_I_75th,0.0284640522875817,16
12,NIR_NONE_75th,0.018629352544564517,16
13,NIR_HOMOGENEITY_median,0.036619905414740424,16
14,NIR_HOMOGENEITY_25th,0.020370370370370375,16
15,NIR_HOMOGENEITY_75th,0.0634214817408602,16
16,Red_HOMOGENEITY_mean,0.025480416605544957,16
17,Red_HOMOGENEITY_median,0.12441867667496843,16
18,Green_NONE_75th,0.021170977452847576,16
19,Green_HOMOGENEITY_mean,0.039626887340301974,16
20,Green_HOMOGENEITY_75th,0.02916151356027276,16
21,Green_MEAN_I_median,0.03310299036002361,16
0,Wideband_Red_MEAN_I_25th,0.0724529189910788,17
1,Wideband_Red_MEAN_I_75th,0.09253125475023204,17
2,Wideband_Blue_NONE_mean,0.04058679706601466,17
3,Wideband_Blue_NONE_median,0.039721254355400706,17
4,Wideband_Blue_NONE_25th,0.030895263738309742,17
5,Wideband_Blue_MEAN_I_25th,0.01962922573609596,17
6,RedEdge_NONE_mean,0.06202312145388846,17
7,RedEdge_NONE_75th,0.03690613226815394,17
8,RedEdge_HOMOGENEITY_mean,0.035005906291021335,17
9,RedEdge_HOMOGENEITY_25th,0.052873691333642905,17
10,RedEdge_HOMOGENEITY_75th,0.048026603967199676,17
11,RedEdge_MEAN_I_75th,0.044682284831654415,17
12,NIR_NONE_75th,0.03643282888172637,17
13,NIR_HOMOGENEITY_median,0.07383345156193491,17
14,NIR_HOMOGENEITY_25th,0.017485804535028012,17
15,NIR_HOMOGENEITY_75th,0.07665061075041783,17
16,Red_HOMOGENEITY_mean,0.0,17
17,Red_HOMOGENEITY_median,0.09923416058782773,17
18,Green_NONE_75th,0.007633587786259541,17
19,Green_HOMOGENEITY_mean,0.027928169391584035,17
20,Green_HOMOGENEITY_75th,0.04004639816233329,17
21,Green_MEAN_I_median,0.04542053356019565,17
0,Wideband_Red_MEAN_I_25th,0.07333597600723826,9
