,importance
g_mean_homogeneity,0.04213967490860741
r_mean_dissimilarity,0.04132822857951112
g_mean_contrast,0.0407865588404062
b_mean_correlation,0.03707703161678956
b_glcm_mean,0.036454268206899
g_mean_dissimilarity,0.036218508832177476
b_mean_contrast,0.03605413094752061
NIR_mean_contrast,0.03569211101516287
g_glcm_mean,0.03518259331440779
r_mean_contrast,0.03266467987276855
r_mean_correlation,0.03231815839967734
RE_mean_contrast,0.032102011291365654
RE_mean_homogeneity,0.030293015264418126
r_mean_energy,0.030068227238940495
RE_glcm_mean,0.02959068236062621
NIR_mean_correlation,0.028947981172838384
NIR_mean_ASM,0.028626489256686868
NIR_glcm_mean,0.028553750437505264
NIR_mean_dissimilarity,0.027802094857632645
NIR_mean_homogeneity,0.02743669188502921
NIR_mean_energy,0.027347567842688564
r_mean_ASM,0.026829272904067974
r_mean_homogeneity,0.0268269278562633
RE_mean_dissimilarity,0.02600286718229207
g_mean_energy,0.02580501732029897
r_glcm_mean,0.023077680175372386
RE_mean_energy,0.02266369742105812
RE_mean_ASM,0.022283538849748714
g_mean_correlation,0.021760799783825037
b_mean_dissimilarity,0.021370358687472297
b_mean_homogeneity,0.021070092057999888
RE_mean_correlation,0.020600512551227433
g_mean_ASM,0.016863135911838627
b_mean_energy,0.016078567561321637
b_mean_ASM,0.01208307559555427
