,importance
g_mean_contrast,0.05972706040293732
g_glcm_mean,0.051587667332343906
r_mean_contrast,0.048870480780869203
r_raw_mean,0.048058441604657984
g_mean_correlation,0.046252459141074835
r_mean_correlation,0.04608100112884773
b_raw_mean,0.04562240242157855
b_mean_correlation,0.045344896910162136
NIR_glcm_mean,0.043502930666464996
r_glcm_mean,0.04125876128449932
r_mean_dissimilarity,0.04092977504755461
RE_glcm_mean,0.039851082482334
b_glcm_mean,0.0386810910225718
g_raw_mean,0.035326967647216975
b_mean_energy,0.03476625279007836
r_mean_ASM,0.03375819332356475
r_mean_energy,0.033323809766537565
r_mean_homogeneity,0.032971254665896545
g_mean_homogeneity,0.03151102883413651
b_mean_dissimilarity,0.031027919551089543
g_mean_dissimilarity,0.02867699058076843
b_mean_contrast,0.02633113102225451
b_mean_homogeneity,0.024298444238063727
g_mean_energy,0.02126192082536823
b_mean_ASM,0.020807241087144542
g_mean_ASM,0.018957449147061926
RE_mean_energy,0.00615156874202016
RE_mean_homogeneity,0.004279885260487209
NIR_mean_homogeneity,0.0028730725144745966
NIR_mean_dissimilarity,0.002733438661542884
RE_mean_dissimilarity,0.0027139510710621124
NIR_mean_contrast,0.002613259056758045
RE_raw_mean,0.002309020924143895
NIR_mean_ASM,0.0022026638925855997
NIR_raw_mean,0.0016966061461474301
NIR_mean_correlation,0.0015124499141385241
NIR_mean_energy,0.0009671914275547835
RE_mean_ASM,0.0005928105336751341
RE_mean_contrast,0.0005674281503316137
RE_mean_correlation,0.0
