,importance
Blue_HOMOGENEITY_median,0.031022332491519148
Wideband_Red_MEAN_I_median,0.02976978068207536
Wideband_Green_MEAN_I_median,0.025792307453064257
Wideband_Red_MEAN_I_75th,0.025226583346928507
Red_MEAN_I_75th,0.02497002548155467
Red_MEAN_I_median,0.024758779878464372
Wideband_Green_MEAN_I_75th,0.023400533289636347
Wideband_Red_MEAN_I_25th,0.02332724871495749
NIR_HOMOGENEITY_75th,0.0231947675093885
Wideband_Blue_NONE_75th,0.022988081473598224
RedEdge_MEAN_I_median,0.02151914386488862
Blue_MEAN_I_75th,0.021511327470533494
Blue_MEAN_I_mean,0.021395700434239977
RedEdge_HOMOGENEITY_median,0.02051726979411752
Green_NONE_25th,0.020214453940438262
Green_HOMOGENEITY_mean,0.019650669836066774
RedEdge_HOMOGENEITY_75th,0.018995263937045932
Blue_MEAN_I_25th,0.01841592317716495
Green_HOMOGENEITY_median,0.018231366040811606
Green_NONE_median,0.017918220385558584
NIR_NONE_median,0.01758971714943062
Wideband_Blue_MEAN_I_median,0.01715713530395796
NIR_MEAN_I_75th,0.016714118461499727
Wideband_Blue_NONE_mean,0.01667196968933434
NIR_NONE_75th,0.016441336004924173
RedEdge_MEAN_I_25th,0.016290829718991137
NIR_NONE_mean,0.01563370282752214
Red_MEAN_I_mean,0.015324408051776255
RedEdge_NONE_75th,0.01491525156059692
Red_MEAN_I_25th,0.014497230999989041
Wideband_Blue_MEAN_I_75th,0.014484865417565844
Wideband_Green_MEAN_I_mean,0.014322836638788639
Blue_HOMOGENEITY_75th,0.014280647683533796
Red_HOMOGENEITY_75th,0.01426612793958108
NIR_HOMOGENEITY_mean,0.013617418956780378
Wideband_Green_MEAN_I_25th,0.012586145371648533
RedEdge_MEAN_I_mean,0.012476842122870783
Wideband_Red_MEAN_I_mean,0.012113201622669236
Blue_HOMOGENEITY_25th,0.012045710668410281
RedEdge_NONE_median,0.011158911990388003
NIR_MEAN_I_25th,0.01096260172145072
Blue_HOMOGENEITY_mean,0.010547228111769058
Wideband_Blue_MEAN_I_mean,0.010395093166637288
RedEdge_NONE_25th,0.010347737867745415
NIR_HOMOGENEITY_25th,0.010308836413482134
Blue_ASM_75th,0.009820405321638546
RedEdge_HOMOGENEITY_mean,0.0095342631339667
NIR_MEAN_I_mean,0.009501747245206976
Green_NONE_75th,0.009495248665593524
Blue_ASM_25th,0.009449309429894493
Blue_ASM_median,0.009398821487958356
Green_HOMOGENEITY_25th,0.009082734344644133
Red_HOMOGENEITY_25th,0.008887855814636103
RedEdge_NONE_mean,0.008729940598795366
NIR_MEAN_I_median,0.008728298316126131
Blue_MEAN_I_median,0.008354962393162552
Wideband_Blue_NONE_25th,0.0081893155168894
Red_HOMOGENEITY_median,0.008048315025358027
RedEdge_MEAN_I_75th,0.007843111255847756
Blue_ASM_mean,0.007696065865350634
Green_MEAN_I_75th,0.007561839886424916
Wideband_Blue_NONE_median,0.0069859138078868545
Red_HOMOGENEITY_mean,0.006932165386978522
RedEdge_HOMOGENEITY_25th,0.006886937442113895
Green_NONE_mean,0.006640467441258663
Green_HOMOGENEITY_75th,0.006527370635976622
Green_MEAN_I_25th,0.006482108078205869
NIR_NONE_25th,0.006414800550694215
NIR_HOMOGENEITY_median,0.005602951534318678
Wideband_Blue_MEAN_I_25th,0.004440263683524704
Green_MEAN_I_mean,0.0034580773920977505
Green_MEAN_I_median,0.0013370250820545135
