,test,pred
0,['Falcataria Moluccana'],['Falcataria Moluccana']
1,['Ficus Variegata'],['Spathodea Campanulatum']
2,['Bridelia Sp.'],['Bridelia Sp.']
3,['Falcataria Moluccana'],['Falcataria Moluccana']
4,['Falcataria Moluccana'],['Alstonia Angulstiloba']
5,['Spathodea Campanulatum'],['Ficus Variegata']
6,['Terminalia Catappa'],['Spathodea Campanulatum']
7,['Spathodea Campanulatum'],['Syzygium Polyanthum']
8,['Shorea Leprosula'],['Shorea Leprosula']
9,['Syzygium Polyanthum'],['Sterculia Parviflora']
10,['Cinnamomum Iners'],['Terminalia Catappa']
11,['Clausena Excavata'],['Dillenia Suffruticosa']
12,['Cinnamomum Iners'],['Falcataria Moluccana']
13,['Alstonia Angulstiloba'],['Alstonia Angulstiloba']
14,['Spathodea Campanulatum'],['Alstonia Angulstiloba']
15,['Clausena Excavata'],['Sterculia Parviflora']
16,['Syzygium Polyanthum'],['Cinnamomum Iners']
17,['Sandoricum Koetjape'],['Cinnamomum Iners']
18,['Sterculia Parviflora'],['Sterculia Parviflora']
19,['Alstonia Angulstiloba'],['Alstonia Angulstiloba']
20,['Claoxylon Indicum'],['Bridelia Sp.']
21,['Bridelia Sp.'],['Sterculia Parviflora']
22,['Pometia Pinnata'],['Sterculia Parviflora']
23,['Sterculia Parviflora'],['Bridelia Sp.']
24,['Calophyllum'],['Sterculia Parviflora']
25,['Pennisetum Purpureum'],['Shorea Leprosula']
26,['Sterculia Parviflora'],['Leea Indica']
27,['Campnosperma Auriculatum'],['Spathodea Campanulatum']
28,['Leea Indica'],['Sterculia Parviflora']
29,['Dillenia Suffruticosa'],['Clausena Excavata']
30,['Sterculia Parviflora'],['Alstonia Angulstiloba']
31,['Ficus Variegata'],['Spathodea Campanulatum']
32,['Spathodea Campanulatum'],['Spathodea Campanulatum']
33,['Falcataria Moluccana'],['Falcataria Moluccana']
34,['Ficus Variegata'],['Terminalia Catappa']
35,['Bridelia Sp.'],['Spathodea Campanulatum']
36,['Falcataria Moluccana'],['Falcataria Moluccana']
37,['Falcataria Moluccana'],['Cinnamomum Iners']
38,['Spathodea Campanulatum'],['Spathodea Campanulatum']
39,['Terminalia Catappa'],['Ficus Variegata']
40,['Spathodea Campanulatum'],['Spathodea Campanulatum']
41,['Shorea Leprosula'],['Clausena Excavata']
42,['Syzygium Polyanthum'],['Bridelia Sp.']
43,['Cinnamomum Iners'],['Claoxylon Indicum']
44,['Clausena Excavata'],['Syzygium Polyanthum']
45,['Cinnamomum Iners'],['Sterculia Parviflora']
46,['Cratoxylum Formosum'],['Sterculia Parviflora']
47,['Alstonia Angulstiloba'],['Sterculia Parviflora']
48,['Spathodea Campanulatum'],['Spathodea Campanulatum']
49,['Clausena Excavata'],['Clausena Excavata']
50,['Syzygium Polyanthum'],['Sterculia Parviflora']
51,['Sandoricum Koetjape'],['Cinnamomum Iners']
52,['Sterculia Parviflora'],['Syzygium Polyanthum']
53,['Alstonia Angulstiloba'],['Sterculia Parviflora']
54,['Claoxylon Indicum'],['Syzygium Polyanthum']
55,['Bridelia Sp.'],['Pennisetum Purpureum']
56,['Pometia Pinnata'],['Sterculia Parviflora']
57,['Sterculia Parviflora'],['Sterculia Parviflora']
58,['Calophyllum'],['Sterculia Parviflora']
59,['Pennisetum Purpureum'],['Bridelia Sp.']
60,['Sterculia Parviflora'],['Sterculia Parviflora']
61,['Campnosperma Auriculatum'],['Spathodea Campanulatum']
62,['Leea Indica'],['Alstonia Angulstiloba']
63,['Dillenia Suffruticosa'],['Sterculia Parviflora']
64,['Sterculia Parviflora'],['Sterculia Parviflora']
65,['Ficus Variegata'],['Spathodea Campanulatum']
66,['Spathodea Campanulatum'],['Spathodea Campanulatum']
