,test,pred
0,['Falcataria Moluccana'],['Falcataria Moluccana']
1,['Ficus Variegata'],['Spathodea Campanulatum']
2,['Bridelia Sp.'],['Bridelia Sp.']
3,['Falcataria Moluccana'],['Falcataria Moluccana']
4,['Falcataria Moluccana'],['Alstonia Angulstiloba']
5,['Spathodea Campanulatum'],['Ficus Variegata']
6,['Terminalia Catappa'],['Spathodea Campanulatum']
7,['Spathodea Campanulatum'],['Clausena Excavata']
8,['Shorea Leprosula'],['Shorea Leprosula']
9,['Syzygium Polyanthum'],['Clausena Excavata']
10,['Cinnamomum Iners'],['Ficus Variegata']
11,['Clausena Excavata'],['Clausena Excavata']
12,['Cinnamomum Iners'],['Falcataria Moluccana']
13,['Alstonia Angulstiloba'],['Alstonia Angulstiloba']
14,['Spathodea Campanulatum'],['Ficus Variegata']
15,['Clausena Excavata'],['Cinnamomum Iners']
16,['Syzygium Polyanthum'],['Cinnamomum Iners']
17,['Alstonia Angulstiloba'],['Alstonia Angulstiloba']
18,['Bridelia Sp.'],['Syzygium Polyanthum']
19,['Ficus Variegata'],['Spathodea Campanulatum']
20,['Spathodea Campanulatum'],['Spathodea Campanulatum']
21,['Falcataria Moluccana'],['Spathodea Campanulatum']
22,['Ficus Variegata'],['Falcataria Moluccana']
23,['Bridelia Sp.'],['Falcataria Moluccana']
24,['Falcataria Moluccana'],['Falcataria Moluccana']
25,['Falcataria Moluccana'],['Cinnamomum Iners']
26,['Spathodea Campanulatum'],['Spathodea Campanulatum']
27,['Terminalia Catappa'],['Ficus Variegata']
28,['Spathodea Campanulatum'],['Spathodea Campanulatum']
29,['Shorea Leprosula'],['Bridelia Sp.']
30,['Syzygium Polyanthum'],['Bridelia Sp.']
31,['Cinnamomum Iners'],['Syzygium Polyanthum']
32,['Clausena Excavata'],['Syzygium Polyanthum']
33,['Cinnamomum Iners'],['Syzygium Polyanthum']
34,['Alstonia Angulstiloba'],['Alstonia Angulstiloba']
35,['Spathodea Campanulatum'],['Spathodea Campanulatum']
36,['Clausena Excavata'],['Cinnamomum Iners']
37,['Syzygium Polyanthum'],['Cinnamomum Iners']
38,['Alstonia Angulstiloba'],['Alstonia Angulstiloba']
39,['Bridelia Sp.'],['Syzygium Polyanthum']
40,['Ficus Variegata'],['Spathodea Campanulatum']
41,['Spathodea Campanulatum'],['Spathodea Campanulatum']
