name|y0|y1|x0|x1
Falcataria Moluccana|2187|3018|1841|2541
Ficus Variegata|2422|2962|812|1348
Bridelia Sp.|3095|3552|1049|1709
Falcataria Moluccana|4317|4876|1243|1783
Falcataria Moluccana|5118|5862|1850|2232
Spathodea Campanulatum|4106|4481|2381|2836
Terminalia Catappa|5147|5822|2849|3525
Spathodea Campanulatum|5852|6137|2461|2712
Shorea Leprosula|6007|6129|3650|3781
Syzygium Polyanthum|5735|5899|3599|3772
Cinnamomum Iners|6263|6502|3628|3776
Clausena Excavata|6275|6404|3840|3924
Cinnamomum Iners|5911|6186|3955|4176
Alstonia Angulstiloba|5430|5666|3777|4036
Spathodea Campanulatum|4691|4928|3673|3923
Clausena Excavata|3983|4156|2938|3170
Syzygium Polyanthum|3827|3968|3127|3294
Sandoricum Koetjape|3273|3699|2923|3197
Sterculia Parviflora|3102|3258|3085|3247
Alstonia Angulstiloba|2855|3102|3387|3608
Claoxylon Indicum|2221|2392|2843|2950
Bridelia Sp.|1997|2166|2917|3159
Pometia Pinnata|2316|2413|3401|3494
Sterculia Parviflora|2383|2503|3551|3674
Calophyllum|2571|2638|3439|3511
Pennisetum Purpureum|2215|2493|3100|3327
Sterculia Parviflora|2659|2783|3585|3724
Campnosperma Auriculatum|671|1006|3777|4026
Leea Indica|2806|2963|4215|4410
Dillenia Suffruticosa|2931|2996|4064|4172
Sterculia Parviflora|3178|3319|3629|3756
Ficus Variegata|6466|6845|3372|3571
Spathodea Campanulatum|1369|1776|2571|2849
