index,tree_name,Blue_HOMOGENEITY_median,Wideband_Red_MEAN_I_median,Wideband_Green_MEAN_I_median,Wideband_Red_MEAN_I_75th,Red_MEAN_I_75th,Red_MEAN_I_median,Wideband_Green_MEAN_I_75th,Wideband_Red_MEAN_I_25th,NIR_HOMOGENEITY_75th,Wideband_Blue_NONE_75th,RedEdge_MEAN_I_median,r_raw_mean,g_raw_mean,b_raw_mean,r_glcm_mean,g_glcm_mean,b_glcm_mean,id_based_on_tree_name
0,Falcataria Moluccana,0.09063720703125,0.8558794117898971,0.0929480160114308,0.5024020323604248,0.11163330078125,0.53466796875,0.6692973597468591,0.5012708825846647,0.0687255859375,0.0935462485219221,0.67822265625,197.900284963788,217.72791444913852,128.3172408235488,71.05502319335938,71.05502319335938,71.05502319335938,8
1,Ficus Variegata,0.0797119140625,0.830298248939304,0.0725136509474387,0.5090751087699948,0.085693359375,0.5439453125,0.5045060978891216,0.507098182180001,0.0631103515625,0.0852263827915426,0.50146484375,190.28057222124696,210.2398585969152,130.08785028070648,35.3648681640625,35.3648681640625,35.3648681640625,9
2,Bridelia Sp.,0.1029052734375,0.7386987029462149,0.1216664957080276,0.4555965668412672,0.149169921875,0.5,0.6995068777395095,0.4530273314665812,0.076171875,0.1098317493901628,0.70068359375,173.562047050585,186.69061696912843,114.88011746130316,36.852935791015625,36.852935791015625,36.852935791015625,1
3,Falcataria Moluccana,0.0755615234375,0.8570972169039207,0.0788277979820005,0.4976455454314125,0.09674072265625,0.5380859375,0.595861210690148,0.4959622214365409,0.055694580078125,0.0790014370757884,0.60107421875,197.30766107737,218.20382228677053,126.92313176656984,36.881683349609375,36.881683349609375,36.881683349609375,8
4,Falcataria Moluccana,0.09063720703125,0.8810428787708685,0.0860315282971599,0.464943310051577,0.1053466796875,0.50048828125,0.6546276772919088,0.4628633505917159,0.068359375,0.0928698491445559,0.66455078125,205.77194175267667,224.05360716350955,118.4774773511837,34.72772216796875,34.72772216796875,34.72772216796875,8
5,Spathodea Campanulatum,0.07025146484375,0.8372272543582909,0.0615250583418494,0.4963359865431193,0.0733642578125,0.5390625,0.5035517219777149,0.4955893926279577,0.053558349609375,0.0723213012806578,0.50146484375,193.25526665733483,211.62784037887272,125.68641517357224,20.85357666015625,20.85357666015625,20.85357666015625,15
6,Terminalia Catappa,0.06988525390625,0.8494841677726108,0.0583849701853381,0.4619370123627848,0.0693359375,0.513671875,0.3690654779356263,0.461389852432471,0.05523681640625,0.0721319541641505,0.363037109375,200.5036468757921,214.37918549465533,116.27771319692692,55.74191284179688,55.74191284179688,55.74191284179688,18
7,Spathodea Campanulatum,0.08123779296875,0.6520262697994342,0.0880316134948381,0.3571349325647839,0.106201171875,0.39404296875,0.6376374179865245,0.3572343026489867,0.06072998046875,0.0853429269328981,0.634765625,135.19011544011545,160.4327478077478,86.5808497058497,8.7486572265625,8.7486572265625,8.7486572265625,15
8,Shorea Leprosula,0.086334228515625,0.6399535952926982,0.1103956254576287,0.2434877485010499,0.12200927734375,0.255859375,0.7050083294190245,0.2480624171087533,0.0683135986328125,0.0905624353671333,0.70947265625,139.66728258191674,158.12786400591278,60.05512441488051,1.958648681640625,1.958648681640625,1.958648681640625,14
9,Syzygium Polyanthum,0.09698486328125,0.6788937117702277,0.1029919262080229,0.3548143017199612,0.1221923828125,0.386962890625,0.6623753747274709,0.3511743984173127,0.07354736328125,0.1013787454412889,0.6591796875,149.0251480320446,165.07189132706375,83.01145942180425,3.473663330078125,3.473663330078125,3.473663330078125,17
10,Cinnamomum Iners,0.060089111328125,0.8136801213672645,0.0521675903651371,0.3445759128066444,0.060791015625,0.37744140625,0.4800288875662599,0.3438224235700197,0.047882080078125,0.0617887758409248,0.482177734375,191.81557606263985,207.2738255033557,89.07354586129753,4.329681396484375,4.329681396484375,4.329681396484375,4
11,Clausena Excavata,0.0609130859375,0.7312703929227942,0.0645817476160386,0.3235305606617647,0.07843017578125,0.34033203125,0.5832206456801471,0.3179044117647059,0.04718017578125,0.0643068874583524,0.58251953125,159.46877828054298,182.83429864253392,82.66162895927602,1.329254150390625,1.329254150390625,1.329254150390625,6
12,Cinnamomum Iners,0.057403564453125,0.76618185343523,0.0577157792357667,0.3797817097274195,0.0682373046875,0.40966796875,0.5145187107363931,0.3788449147956563,0.045928955078125,0.0590385488139316,0.517578125,179.74957566261915,194.0960960960961,94.68083300691995,7.4339599609375,7.4339599609375,7.4339599609375,4
13,Alstonia Angulstiloba,0.088623046875,0.9237957385159278,0.0742159200269122,0.3725296966789305,0.088623046875,0.39501953125,0.5225299302921739,0.3704885083575581,0.0728759765625,0.0897878744805506,0.5234375,225.9289029535865,234.0340311587147,95.37422914638104,7.476531982421875,7.476531982421875,7.476531982421875,0
14,Spathodea Campanulatum,0.07373046875,0.8584042342893254,0.060700762984894,0.5262260995428593,0.071533203125,0.556640625,0.4258973945691747,0.524008532873887,0.058807373046875,0.0773832783731897,0.428466796875,201.81733569922,217.52683384110617,133.6870333790887,7.247528076171875,7.247528076171875,7.247528076171875,15
15,Clausena Excavata,0.0662841796875,0.8002319235269256,0.067609381640329,0.3458905994705333,0.0843505859375,0.374755859375,0.5786531760750402,0.3437198800614382,0.049407958984375,0.067681165962905,0.58740234375,181.0445710621084,200.8414483745252,90.6446401262888,4.911773681640625,4.911773681640625,4.911773681640625,6
16,Syzygium Polyanthum,0.07476806640625,0.7955324618836959,0.0657201742508437,0.4243412684459077,0.0772705078125,0.4599609375,0.5399446782377577,0.426164311981393,0.05694580078125,0.0744444856938627,0.5390625,175.82717136150234,190.5028085177733,103.81317069081152,2.8837890625,2.8837890625,2.8837890625,17
17,Sandoricum Koetjape,0.0672607421875,0.7591960737652587,0.0653986717013978,0.3451022975894712,0.07904052734375,0.412841796875,0.5428078328181909,0.3429869341139313,0.050750732421875,0.0715207221701778,0.537109375,172.2249946774537,188.4841813923781,85.57368533106238,14.2698974609375,14.2698974609375,14.2698974609375,13
18,Sterculia Parviflora,0.07904052734375,0.8456205132509836,0.0739165431939372,0.4188135438046212,0.0877685546875,0.43798828125,0.5811169418815262,0.4213899700174031,0.06475830078125,0.0799927925082153,0.5869140625,190.83584072525497,209.0606463209722,102.76335430424758,3.09466552734375,3.09466552734375,3.09466552734375,16
19,Alstonia Angulstiloba,0.1063232421875,0.8974524033477359,0.082747163709148,0.511529537788139,0.09796142578125,0.552734375,0.5389041629377314,0.5140293853149092,0.08673095703125,0.1059804296736388,0.54150390625,209.7715417029933,227.6599462365592,130.3650101714618,6.677734375,6.677734375,6.677734375,0
20,Claoxylon Indicum,0.09381103515625,0.763392552005218,0.0921371473310709,0.427444524756671,0.1072998046875,0.468505859375,0.6282105056692132,0.4177329396325459,0.07421875,0.0906117642734843,0.6376953125,179.69724375538328,200.00059216192932,111.90116279069768,2.24200439453125,2.24200439453125,2.24200439453125,5
21,Bridelia Sp.,0.131103515625,0.7515244831123737,0.1273476870758365,0.433079407354798,0.1488037109375,0.455322265625,0.7311460404829545,0.4350342487373737,0.1055908203125,0.1329021970190183,0.73095703125,174.13294601791333,188.5754296780441,108.919632050351,5.004974365234375,5.004974365234375,5.004974365234375,1
22,Pometia Pinnata,0.1234130859375,0.8782416084063343,0.0881640610898693,0.2878433480187476,0.10333251953125,0.326904296875,0.5842575643170004,0.3011106565267616,0.0977783203125,0.1212257852359693,0.58837890625,192.02475032566213,211.2253582283977,64.34628745115067,1.10699462890625,1.10699462890625,1.10699462890625,12
