index,tree_name,Blue_HOMOGENEITY_median,Wideband_Red_MEAN_I_median,Wideband_Green_MEAN_I_median,Wideband_Red_MEAN_I_75th,Red_MEAN_I_75th,Red_MEAN_I_median,Wideband_Green_MEAN_I_75th,Wideband_Red_MEAN_I_25th,NIR_HOMOGENEITY_75th,Wideband_Blue_NONE_75th,RedEdge_MEAN_I_median,r_raw_mean,g_raw_mean,b_raw_mean,r_glcm_mean,g_glcm_mean,b_glcm_mean,id_based_on_tree_name
0,Falcataria Moluccana,0.06866455078125,0.7973870582421128,0.0705208772465052,0.3808305725999569,0.08233642578125,0.413818359375,0.5806894571733607,0.3795510512357498,0.05609130859375,0.0698518820242311,0.58349609375,183.4810621165969,203.0095537888494,97.10356230750304,57.421417236328125,57.421417236328125,57.421417236328125,9
1,Ficus Variegata,0.0556640625,0.823925892617984,0.0518922215424253,0.3044725227431386,0.06085205078125,0.340087890625,0.4808758078400043,0.3052952638285985,0.043304443359375,0.0575793227538265,0.475341796875,191.90516911685967,208.8475462375132,78.08381648793771,31.824859619140625,31.824859619140625,31.824859619140625,10
2,Bridelia Sp.,0.0697021484375,0.824904571745093,0.0709300870048165,0.3860624793977824,0.0845947265625,0.4345703125,0.595245485854187,0.3851965016912942,0.051971435546875,0.0718072076206298,0.59765625,187.2287189522806,208.9341562547042,97.76738220683426,40.43722534179688,40.43722534179688,40.43722534179688,1
3,Falcataria Moluccana,0.0601806640625,0.7914401943852463,0.0636182220925777,0.3689559211298891,0.07568359375,0.40869140625,0.5467356005358017,0.3689388723768127,0.0478515625,0.0625181436362033,0.54443359375,182.4411542480508,202.09169451238412,94.2749824887756,53.03253173828125,53.03253173828125,53.03253173828125,9
4,Falcataria Moluccana,0.055908203125,0.7995787133750407,0.0557528062536028,0.3161071114523668,0.0654296875,0.342529296875,0.5160850428406881,0.3152553305741827,0.045257568359375,0.0584465329061065,0.5146484375,189.7884466637294,204.0367862795973,81.05315187415349,74.64730834960938,74.64730834960938,74.64730834960938,9
5,Spathodea Campanulatum,0.06768798828125,0.8049226143249891,0.0726205406147568,0.4081099909152664,0.0872802734375,0.44873046875,0.5451494625020489,0.4080007121540965,0.052398681640625,0.0742047391173823,0.54296875,200.2167200768629,204.10356207219627,103.2036867954479,20.38043212890625,20.38043212890625,20.38043212890625,16
6,Terminalia Catappa,0.06689453125,0.8310156619670384,0.058102123387318,0.3342915818782299,0.06866455078125,0.372802734375,0.4777106298917605,0.3337133948590184,0.053863525390625,0.0695995323758126,0.47900390625,197.62816372344824,211.2153601154055,84.98779692197972,60.12057495117188,60.12057495117188,60.12057495117188,19
7,Spathodea Campanulatum,0.07708740234375,0.6208087829606503,0.0897924380194871,0.316561655725018,0.1048583984375,0.374755859375,0.6446405768249522,0.3154318442300057,0.058074951171875,0.0817139630116654,0.63916015625,134.3411295911296,155.53599956231534,77.04435204435204,13.324005126953123,13.324005126953123,13.324005126953123,16
8,Shorea Leprosula,0.072357177734375,0.6681965115704114,0.07986934677961,0.228426621835443,0.093994140625,0.2427978515625,0.7237613726265822,0.2291847969409282,0.059234619140625,0.0716242053840733,0.720703125,147.01390168970815,162.5136712749616,57.75468509984639,1.568450927734375,1.568450927734375,1.568450927734375,15
9,Syzygium Polyanthum,0.1456298828125,0.6527586229804422,0.1423493325928628,0.2716638649901066,0.16162109375,0.302734375,0.7547796883176348,0.2680212830324437,0.116943359375,0.1422646147739444,0.75341796875,139.2784523809524,159.11818452380953,67.15175595238095,4.068023681640625,4.068023681640625,4.068023681640625,18
